Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
183,0.035,1051.0,15.45,611.0,1.32,0.0,0.0,0.0,0.035
184,0.041,1076.0,21.22,611.0,1.4,0.001,709.0,0.32,0.042
185,0.02,995.0,10.91,609.0,1.22,0.0,0.0,0.0,0.02
186,0.029,1041.0,13.58,612.0,1.37,0.0,704.0,0.22,0.029
187,0.051,1055.0,56.32,618.0,1.44,0.0,0.0,0.0,0.051
188,0.035,1066.0,15.67,619.0,2.07,0.0,0.0,0.0,0.035
189,0.034,1066.0,16.98,613.0,1.86,0.0,0.0,0.0,0.034
190,0.031,1049.0,14.75,612.0,1.21,0.0,0.0,0.0,0.031
191,0.032,1058.0,16.08,616.0,1.2,0.0,0.0,0.0,0.032
192,0.03,1054.0,16.96,608.0,1.16,0.0,0.0,0.0,0.03
193,0.03,1057.0,15.61,610.0,1.73,0.0,0.0,0.0,0.03
194,0.033,1050.0,15.52,614.0,1.68,0.0,0.0,0.0,0.033
195,0.032,1056.0,13.84,621.0,1.84,0.0,0.0,0.0,0.032
196,0.03,1048.0,15.28,613.0,1.2,0.0,0.0,0.0,0.03
197,0.031,1053.0,16.04,610.0,1.17,0.0,0.0,0.0,0.031
198,0.028,1049.0,16.59,608.0,0.96,0.0,0.0,0.0,0.028
199,0.035,1058.0,16.35,617.0,1.11,0.0,0.0,0.0,0.035
200,0.032,1054.0,15.51,617.0,1.38,0.0,0.0,0.0,0.032
201,0.034,1041.0,13.14,614.0,1.3,0.0,0.0,0.0,0.034
202,0.031,1030.0,12.29,614.0,0.97,0.0,0.0,0.0,0.031
203,0.017,999.0,8.89,608.0,1.13,0.0,0.0,0.0,0.017
204,0.027,1043.0,13.28,612.0,1.17,0.0,0.0,0.0,0.027
205,0.031,1055.0,14.65,614.0,0.86,0.0,0.0,0.0,0.031
206,0.029,1046.0,13.81,610.0,1.27,0.0,0.0,0.0,0.029
207,0.029,1050.0,13.24,609.0,1.32,0.0,0.0,0.0,0.029
208,0.03,1054.0,13.07,610.0,1.63,0.0,0.0,0.0,0.03
209,0.032,1050.0,14.49,612.0,1.69,0.0,0.0,0.0,0.032
210,0.029,1049.0,13.46,614.0,1.12,0.0,0.0,0.0,0.029
211,0.031,1057.0,15.04,617.0,1.04,0.0,0.0,0.0,0.031
212,0.03,1059.0,14.42,612.0,1.46,0.0,0.0,0.0,0.03
213,0.029,1054.0,14.15,611.0,1.61,0.0,0.0,0.0,0.029
214,0.029,1051.0,13.93,614.0,1.16,0.0,0.0,0.0,0.029
215,0.028,1036.0,15.31,615.0,0.8,0.0,0.0,0.0,0.028
216,0.05,1056.0,42.22,620.0,1.69,0.0,0.0,0.0,0.05
217,0.03,1057.0,15.33,616.0,1.11,0.0,0.0,0.0,0.03
218,0.031,1047.0,14.21,613.0,1.3,0.0,0.0,0.0,0.031
219,0.031,1051.0,14.44,618.0,1.06,0.0,0.0,0.0,0.031
220,0.021,1005.0,10.44,615.0,0.99,0.0,0.0,0.0,0.021
221,0.023,1031.0,9.6,615.0,1.99,0.0,0.0,0.0,0.023
222,0.032,1055.0,14.75,615.0,1.76,0.0,0.0,0.0,0.032
223,0.036,1049.0,13.93,729.0,1.34,0.0,709.0,0.32,0.036
224,0.032,1049.0,12.45,618.0,1.66,0.0,0.0,0.0,0.032
225,0.029,1053.0,14.71,615.0,0.73,0.0,0.0,0.0,0.029
226,0.033,1047.0,18.07,613.0,0.71,0.0,0.0,0.0,0.033
227,0.032,1066.0,16.09,616.0,1.32,0.0,0.0,0.0,0.032
228,0.031,1054.0,16.18,614.0,0.74,0.0,0.0,0.0,0.031
229,0.028,1056.0,13.1,616.0,1.36,0.0,0.0,0.0,0.028
230,0.03,1052.0,14.34,614.0,1.2,0.0,0.0,0.0,0.03
231,0.03,1060.0,13.98,617.0,1.42,0.0,0.0,0.0,0.03
232,0.03,1049.0,13.62,612.0,1.51,0.0,0.0,0.0,0.03
233,0.03,1058.0,14.71,613.0,1.18,0.0,0.0,0.0,0.03
234,0.033,1058.0,15.49,619.0,1.89,0.0,0.0,0.0,0.033
235,0.031,1050.0,14.85,617.0,1.75,0.0,0.0,0.0,0.031
236,0.061,1084.0,19.06,769.0,1.95,0.0,711.0,0.73,0.061
237,0.029,1043.0,13.09,609.0,1.06,0.0,0.0,0.0,0.029
238,0.018,994.0,8.41,608.0,1.21,0.0,0.0,0.0,0.018
239,0.031,1044.0,10.82,616.0,1.81,0.0,0.0,0.0,0.031
240,0.033,1051.0,13.7,618.0,1.77,0.0,0.0,0.0,0.033
241,0.03,1048.0,14.12,611.0,1.14,0.0,0.0,0.0,0.03
242,0.031,1045.0,14.29,615.0,0.66,0.0,0.0,0.0,0.031
243,0.033,1042.0,10.85,616.0,1.42,0.0,0.0,0.0,0.033
244,0.031,1050.0,12.27,612.0,1.35,0.0,0.0,0.0,0.031
245,0.042,1052.0,35.1,612.0,0.99,0.0,0.0,0.0,0.042
246,0.04,1058.0,28.46,621.0,1.54,0.0,0.0,0.0,0.04
247,0.036,1043.0,16.48,619.0,1.03,0.0,0.0,0.0,0.036
248,0.031,1054.0,15.4,615.0,0.67,0.0,0.0,0.0,0.031
249,0.031,1053.0,13.14,618.0,1.38,0.0,0.0,0.0,0.031
250,0.032,1058.0,13.98,612.0,1.51,0.0,0.0,0.0,0.032
251,0.031,1050.0,13.08,613.0,1.1,0.0,0.0,0.0,0.031
252,0.033,1056.0,13.52,618.0,1.29,0.0,0.0,0.0,0.033
253,0.028,1049.0,14.35,612.0,0.81,0.0,0.0,0.0,0.028
254,0.031,1052.0,13.18,616.0,1.09,0.0,0.0,0.0,0.031
255,0.028,1027.0,12.17,612.0,1.08,0.0,0.0,0.0,0.028
256,0.02,1000.0,6.44,613.0,1.87,0.0,0.0,0.0,0.02
257,0.031,1057.0,12.74,614.0,2.09,0.0,0.0,0.0,0.031
258,0.029,1044.0,15.0,608.0,0.85,0.0,0.0,0.0,0.029
259,0.032,1052.0,13.83,616.0,1.43,0.0,0.0,0.0,0.032
260,0.035,1055.0,14.82,613.0,1.17,0.0,0.0,0.0,0.035
261,0.039,1062.0,13.99,695.0,2.01,0.002,710.0,0.64,0.041
262,0.029,1050.0,13.98,618.0,1.51,0.0,0.0,0.0,0.029
263,0.033,1042.0,12.65,618.0,1.09,0.0,0.0,0.0,0.033
264,0.135,1101.0,59.93,623.0,1.67,0.0,710.0,0.32,0.135
265,0.106,1141.0,33.17,680.0,6.29,0.0,0.0,0.0,0.106
266,0.044,1085.0,19.77,625.0,1.68,0.0,704.0,0.23,0.044
267,0.033,1057.0,14.07,618.0,1.13,0.0,0.0,0.0,0.033
268,0.03,1055.0,12.43,616.0,2.05,0.0,0.0,0.0,0.03
269,0.034,1062.0,14.54,614.0,1.78,0.0,0.0,0.0,0.034
270,0.031,1053.0,13.99,618.0,1.88,0.0,0.0,0.0,0.031
271,0.03,1056.0,13.63,617.0,1.45,0.0,0.0,0.0,0.03
272,0.029,1053.0,14.59,613.0,1.2,0.0,0.0,0.0,0.029
273,0.018,997.0,8.75,612.0,1.05,0.0,0.0,0.0,0.018
274,0.025,1033.0,14.46,609.0,1.2,0.0,710.0,0.32,0.025
275,0.049,1049.0,43.34,614.0,1.47,0.0,0.0,0.0,0.049
276,0.029,1045.0,17.04,613.0,0.79,0.0,704.0,0.22,0.029
277,0.033,1063.0,14.57,618.0,1.92,0.0,0.0,0.0,0.033
278,0.028,1054.0,15.94,609.0,0.94,0.0,0.0,0.0,0.028
279,0.032,1054.0,15.44,617.0,1.06,0.0,0.0,0.0,0.032
280,0.109,1062.0,68.69,615.0,1.24,0.0,0.0,0.0,0.109
281,0.17,1064.0,100.0,610.0,1.42,0.0,714.0,0.61,0.17
282,0.108,1058.0,59.8,615.0,2.11,0.0,0.0,0.0,0.108
283,0.026,1048.0,14.54,608.0,0.87,0.0,0.0,0.0,0.026
284,0.033,1043.0,13.38,614.0,1.51,0.0,0.0,0.0,0.033
285,0.032,1060.0,13.64,615.0,1.77,0.0,0.0,0.0,0.032
286,0.034,1053.0,16.12,618.0,1.04,0.0,0.0,0.0,0.034
287,0.029,1053.0,15.87,615.0,0.69,0.0,0.0,0.0,0.029
288,0.032,1058.0,13.39,623.0,1.57,0.0,0.0,0.0,0.032
289,0.031,1055.0,14.5,621.0,1.56,0.0,0.0,0.0,0.031
290,0.024,1017.0,9.83,618.0,1.67,0.0,0.0,0.0,0.024
291,0.02,1015.0,10.34,607.0,0.81,0.0,0.0,0.0,0.02
292,0.028,1055.0,14.02,615.0,1.27,0.0,0.0,0.0,0.028
293,0.029,1056.0,14.62,612.0,0.87,0.0,0.0,0.0,0.029
294,0.032,1060.0,14.88,618.0,1.69,0.0,0.0,0.0,0.032
295,0.048,1107.0,24.4,617.0,1.43,0.0,0.0,0.0,0.048
296,0.032,1052.0,16.5,613.0,1.59,0.0,0.0,0.0,0.032
297,0.03,1055.0,14.24,619.0,1.08,0.0,0.0,0.0,0.03
298,0.032,1060.0,13.78,618.0,1.65,0.0,0.0,0.0,0.032
299,0.032,1056.0,14.32,618.0,1.62,0.0,0.0,0.0,0.032
300,0.03,1063.0,14.81,613.0,1.57,0.0,0.0,0.0,0.03
301,0.032,1047.0,13.82,615.0,1.41,0.0,0.0,0.0,0.032
302,0.028,1058.0,14.12,613.0,1.31,0.0,0.0,0.0,0.028
303,0.031,1045.0,12.02,612.0,1.43,0.0,0.0,0.0,0.031
304,0.049,1040.0,50.18,615.0,1.15,0.0,0.0,0.0,0.049
305,0.032,1058.0,13.46,622.0,1.57,0.0,0.0,0.0,0.032
306,0.032,1063.0,14.03,619.0,1.77,0.0,0.0,0.0,0.032
307,0.022,1026.0,10.78,609.0,1.16,0.0,0.0,0.0,0.022
308,0.021,1013.0,8.74,614.0,1.65,0.0,0.0,0.0,0.021
309,0.03,1057.0,13.09,618.0,1.37,0.0,0.0,0.0,0.03
310,0.031,1053.0,14.01,615.0,1.75,0.0,0.0,0.0,0.031
311,0.031,1051.0,14.82,619.0,1.04,0.0,0.0,0.0,0.031
312,0.029,1055.0,13.39,619.0,1.02,0.0,0.0,0.0,0.029
313,0.031,1058.0,13.52,622.0,1.59,0.0,0.0,0.0,0.031
314,0.028,1054.0,14.86,615.0,1.0,0.0,0.0,0.0,0.028
315,0.032,1056.0,14.04,614.0,1.74,0.0,0.0,0.0,0.032
316,0.029,1055.0,15.64,614.0,0.99,0.0,0.0,0.0,0.029
317,0.029,1052.0,13.99,612.0,1.21,0.0,0.0,0.0,0.029
318,0.029,1051.0,14.81,615.0,0.81,0.0,0.0,0.0,0.029
319,0.03,1054.0,13.47,619.0,1.58,0.0,0.0,0.0,0.03
320,0.031,1056.0,13.81,621.0,1.55,0.0,0.0,0.0,0.031
321,0.03,1053.0,13.55,618.0,1.3,0.0,0.0,0.0,0.03
322,0.05,1065.0,14.18,618.0,1.62,0.0,0.0,0.0,0.05
323,0.032,1038.0,12.16,618.0,1.05,0.0,0.0,0.0,0.032
324,0.021,1004.0,7.89,614.0,0.91,0.0,0.0,0.0,0.021
325,0.023,1032.0,9.77,615.0,2.33,0.0,0.0,0.0,0.023
326,0.029,1048.0,14.06,608.0,0.99,0.0,0.0,0.0,0.029
327,0.024,1039.0,12.23,607.0,0.71,0.0,0.0,0.0,0.024
328,0.029,1054.0,13.31,607.0,1.23,0.0,0.0,0.0,0.029
329,0.032,1059.0,13.34,612.0,1.8,0.0,0.0,0.0,0.032
330,0.031,1046.0,14.43,614.0,1.25,0.0,0.0,0.0,0.031
331,0.027,1054.0,11.89,614.0,1.44,0.0,0.0,0.0,0.027
332,0.038,1059.0,18.41,616.0,1.13,0.0,0.0,0.0,0.038
