Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s
122,4.684,1646.0,15.7,3066.0,99.42,0.0,0.0,0.0,4.684,1247.05,1116.54
123,4.707,1726.0,15.65,3066.0,99.93,0.0,0.0,0.0,4.707,1239.76,1136.18
124,4.753,1648.0,13.32,3065.0,99.88,0.0,0.0,0.0,4.753,1268.42,1120.14
125,4.749,1681.0,13.56,3061.0,100.0,0.0,0.0,0.0,4.749,1249.14,1152.28
126,4.72,1644.0,14.0,3064.0,99.48,0.0,0.0,0.0,4.72,1256.04,1122.36
127,4.731,1677.0,14.82,3064.0,99.99,0.0,0.0,0.0,4.731,1267.34,1128.81
128,4.739,1641.0,13.06,3063.0,99.88,0.0,0.0,0.0,4.739,1251.51,1129.25
129,4.764,1687.0,12.16,3060.0,100.0,0.0,0.0,0.0,4.764,1246.13,1154.04
130,4.666,1678.0,16.24,3067.0,98.81,0.0,0.0,0.0,4.666,1259.06,1107.88
131,4.763,1701.0,21.58,3065.0,99.96,0.0,0.0,0.0,4.763,1259.42,1135.75
132,4.719,1624.0,15.63,3064.0,99.77,0.0,715.0,0.51,4.719,1256.56,1122.22
133,4.749,1694.0,13.57,3064.0,99.99,0.0,0.0,0.0,4.749,1265.53,1130.23
134,4.798,1659.0,25.33,3065.0,99.84,0.0,0.0,0.0,4.798,1263.24,1127.88
135,4.729,1718.0,15.35,3062.0,100.0,0.0,0.0,0.0,4.729,1260.47,1132.78
136,4.726,1678.0,14.34,3065.0,99.81,0.0,0.0,0.0,4.726,1252.67,1119.25
137,4.729,1654.0,14.77,3064.0,99.9,0.0,0.0,0.0,4.729,1276.81,1126.0
138,4.746,1676.0,14.36,3064.0,99.91,0.0,0.0,0.0,4.746,1256.52,1137.2
139,4.71,1690.0,16.58,3065.0,99.99,0.0,0.0,0.0,4.71,1261.53,1127.25
140,4.75,1671.0,13.87,3065.0,99.62,0.0,0.0,0.0,4.75,1266.55,1120.53
141,4.739,1706.0,15.15,3064.0,100.0,0.0,0.0,0.0,4.739,1269.62,1124.31
142,4.793,1674.0,26.07,3065.0,99.84,0.0,0.0,0.0,4.793,1264.92,1138.11
143,4.748,1647.0,12.82,3062.0,99.99,0.0,0.0,0.0,4.748,1255.19,1133.96
144,4.705,1698.0,16.7,3065.0,99.75,0.0,0.0,0.0,4.705,1249.32,1119.08
145,4.713,1686.0,16.78,3068.0,99.15,0.0,0.0,0.0,4.713,1278.34,1131.98
146,4.804,1618.0,11.09,3058.0,100.0,0.0,0.0,0.0,4.804,1269.42,1144.19
147,4.76,1692.0,17.49,3061.0,100.0,0.0,712.0,0.31,4.76,1261.84,1152.07
148,4.738,1695.0,16.08,3064.0,100.0,0.0,0.0,0.0,4.738,1271.8,1133.24
149,4.753,1679.0,14.3,3066.0,99.76,0.0,0.0,0.0,4.753,1253.6,1105.71
150,4.762,1683.0,13.25,3061.0,99.99,0.0,0.0,0.0,4.762,1255.4,1144.83
151,4.731,1648.0,15.29,3064.0,99.57,0.0,0.0,0.0,4.731,1262.13,1124.08
152,4.712,1683.0,15.61,3066.0,99.91,0.0,0.0,0.0,4.712,1256.69,1124.05
153,4.751,1679.0,14.04,3063.0,99.94,0.0,0.0,0.0,4.751,1257.96,1134.67
154,4.73,1666.0,13.73,3065.0,99.43,0.0,0.0,0.0,4.73,1246.2,1121.25
155,4.71,1725.0,17.5,3067.0,99.87,0.0,0.0,0.0,4.71,1265.74,1136.33
156,4.702,1616.0,15.72,3067.0,99.04,0.0,0.0,0.0,4.702,1262.99,1102.85
157,4.728,1683.0,15.27,3065.0,99.9,0.0,0.0,0.0,4.728,1260.96,1121.13
158,4.71,1659.0,15.48,3066.0,99.79,0.0,0.0,0.0,4.71,1258.68,1113.23
159,4.738,1641.0,15.2,3065.0,99.7,0.0,0.0,0.0,4.738,1258.41,1117.04
160,4.733,1681.0,14.24,3062.0,99.98,0.0,0.0,0.0,4.733,1252.62,1138.94
161,4.732,1640.0,14.42,3066.0,99.41,0.0,0.0,0.0,4.732,1269.75,1112.14
162,4.741,1673.0,14.21,3064.0,99.97,0.0,0.0,0.0,4.741,1252.83,1133.24
163,4.748,1679.0,14.84,3065.0,99.91,0.0,0.0,0.0,4.748,1250.88,1126.43
164,4.723,1681.0,15.5,3066.0,99.91,0.0,0.0,0.0,4.723,1262.46,1117.33
165,4.779,1700.0,13.02,3060.0,100.0,0.0,0.0,0.0,4.779,1270.82,1149.56
166,4.702,1634.0,15.72,3067.0,99.32,0.0,0.0,0.0,4.702,1254.62,1101.35
167,4.736,1692.0,15.54,3063.0,99.99,0.0,0.0,0.0,4.736,1255.21,1133.51
