Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
102,0.024,1038.0,10.22,611.0,1.09,0.0,0.0,0.0,0.024
103,0.028,1038.0,12.58,619.0,0.91,0.0,0.0,0.0,0.028
104,0.026,1038.0,11.3,619.0,0.91,0.0,0.0,0.0,0.026
105,0.025,1035.0,11.34,619.0,0.93,0.0,0.0,0.0,0.025
106,0.027,1037.0,15.23,615.0,0.59,0.0,0.0,0.0,0.027
107,0.027,1043.0,10.73,615.0,0.98,0.0,0.0,0.0,0.027
108,0.026,1042.0,11.1,617.0,1.32,0.0,0.0,0.0,0.026
109,0.015,990.0,5.88,608.0,1.04,0.0,0.0,0.0,0.015
110,0.019,1018.0,7.24,611.0,1.1,0.0,0.0,0.0,0.019
111,0.025,1041.0,10.24,617.0,0.97,0.0,0.0,0.0,0.025
112,0.025,1043.0,11.09,612.0,1.18,0.0,0.0,0.0,0.025
113,0.04,1043.0,11.57,703.0,1.76,0.0,709.0,0.32,0.04
114,0.027,1037.0,15.26,608.0,0.87,0.0,0.0,0.0,0.027
115,0.028,1044.0,12.11,617.0,1.15,0.0,0.0,0.0,0.028
116,0.029,1038.0,13.36,611.0,0.72,0.0,0.0,0.0,0.029
117,0.039,1043.0,31.49,611.0,1.03,0.0,0.0,0.0,0.039
118,0.025,1039.0,12.04,611.0,1.14,0.0,0.0,0.0,0.025
119,0.027,1044.0,10.96,618.0,1.46,0.0,0.0,0.0,0.027
120,0.026,1037.0,11.82,614.0,1.09,0.0,0.0,0.0,0.026
121,0.025,1066.0,10.57,617.0,1.1,0.0,0.0,0.0,0.025
122,0.025,1046.0,10.56,611.0,1.5,0.0,0.0,0.0,0.025
123,0.025,1038.0,10.24,611.0,1.27,0.0,0.0,0.0,0.025
124,0.025,1040.0,11.9,611.0,1.14,0.0,0.0,0.0,0.025
125,0.024,1035.0,12.52,609.0,0.78,0.0,0.0,0.0,0.024
126,0.021,1015.0,9.08,612.0,1.03,0.0,0.0,0.0,0.021
127,0.012,996.0,4.13,611.0,1.08,0.0,0.0,0.0,0.012
128,0.027,1039.0,10.94,619.0,0.9,0.0,0.0,0.0,0.027
129,0.027,1041.0,11.46,619.0,0.92,0.0,0.0,0.0,0.027
130,0.025,1038.0,10.8,618.0,1.06,0.0,0.0,0.0,0.025
131,0.026,1039.0,11.83,614.0,1.13,0.0,0.0,0.0,0.026
132,0.025,1038.0,10.64,613.0,1.34,0.0,0.0,0.0,0.025
133,0.023,1039.0,10.9,609.0,0.88,0.0,0.0,0.0,0.023
134,0.025,1035.0,13.54,607.0,0.78,0.0,0.0,0.0,0.025
135,0.026,1046.0,11.77,613.0,1.28,0.0,0.0,0.0,0.026
136,0.034,1047.0,12.65,755.0,1.54,0.0,711.0,0.42,0.034
137,0.108,1261.0,30.12,616.0,1.38,0.0,0.0,0.0,0.108
138,0.025,1033.0,13.16,607.0,0.81,0.0,0.0,0.0,0.025
139,0.027,1041.0,12.42,615.0,0.97,0.0,0.0,0.0,0.027
140,0.025,1038.0,10.87,617.0,1.12,0.0,0.0,0.0,0.025
141,0.024,1042.0,10.11,612.0,1.22,0.0,0.0,0.0,0.024
142,0.025,1042.0,11.53,612.0,0.99,0.0,0.0,0.0,0.025
143,0.02,1008.0,8.67,609.0,1.22,0.0,0.0,0.0,0.02
144,0.016,1003.0,5.78,611.0,1.08,0.0,0.0,0.0,0.016
145,0.026,1039.0,10.82,619.0,1.0,0.0,0.0,0.0,0.026
146,0.025,1039.0,10.76,615.0,0.97,0.0,0.0,0.0,0.025
147,0.065,1090.0,27.48,619.0,0.92,0.0,0.0,0.0,0.065
148,0.026,1040.0,11.35,619.0,0.92,0.0,0.0,0.0,0.026
149,0.027,1038.0,11.13,620.0,1.05,0.0,0.0,0.0,0.027
150,0.026,1040.0,10.39,617.0,0.94,0.0,0.0,0.0,0.026
151,0.025,1038.0,10.62,619.0,0.91,0.0,0.0,0.0,0.025
152,0.025,1039.0,10.75,618.0,1.17,0.0,0.0,0.0,0.025
153,0.029,1039.0,13.4,615.0,1.04,0.0,0.0,0.0,0.029
154,0.026,1040.0,10.59,618.0,1.26,0.0,0.0,0.0,0.026
155,0.023,1036.0,12.79,610.0,0.72,0.0,0.0,0.0,0.023
156,0.027,1041.0,11.95,615.0,0.97,0.0,0.0,0.0,0.027
157,0.026,1038.0,10.48,619.0,0.92,0.0,0.0,0.0,0.026
158,0.027,1039.0,13.34,618.0,1.03,0.0,0.0,0.0,0.027
159,0.025,1038.0,10.68,614.0,0.96,0.0,0.0,0.0,0.025
160,0.013,976.0,5.18,615.0,0.85,0.0,0.0,0.0,0.013
161,0.023,1034.0,7.69,618.0,1.27,0.0,0.0,0.0,0.023
162,0.026,1045.0,10.33,612.0,1.08,0.0,0.0,0.0,0.026
163,0.027,1048.0,12.49,616.0,0.93,0.0,0.0,0.0,0.027
164,0.023,1042.0,11.86,607.0,0.85,0.0,0.0,0.0,0.023
165,0.025,1040.0,11.75,608.0,1.06,0.0,0.0,0.0,0.025
166,0.024,1036.0,11.7,607.0,0.96,0.0,0.0,0.0,0.024
167,0.025,1043.0,10.86,610.0,1.08,0.0,0.0,0.0,0.025
168,0.025,1040.0,10.71,618.0,1.17,0.0,0.0,0.0,0.025
169,0.025,1039.0,11.22,615.0,1.02,0.0,0.0,0.0,0.025
170,0.026,1042.0,11.15,619.0,0.92,0.0,0.0,0.0,0.026
171,0.031,1047.0,12.92,758.0,0.99,0.0,713.0,0.51,0.031
172,0.024,1037.0,11.88,613.0,0.72,0.0,0.0,0.0,0.024
173,0.027,1041.0,12.32,617.0,0.97,0.0,0.0,0.0,0.027
174,0.035,1040.0,14.15,617.0,0.89,0.0,706.0,0.22,0.035
175,0.032,1043.0,15.3,618.0,1.38,0.0,0.0,0.0,0.032
176,0.042,1029.0,35.5,611.0,1.05,0.0,711.0,0.42,0.042
177,0.012,987.0,3.64,609.0,1.23,0.0,0.0,0.0,0.012
178,0.023,1035.0,10.3,609.0,1.2,0.0,0.0,0.0,0.023
179,0.027,1040.0,13.19,610.0,0.85,0.0,0.0,0.0,0.027
180,0.079,1066.0,67.02,615.0,0.98,0.0,0.0,0.0,0.079
181,0.094,1043.0,70.94,610.0,1.48,0.0,0.0,0.0,0.094
182,0.029,1042.0,12.97,609.0,1.39,0.0,704.0,0.22,0.029
183,0.025,1041.0,10.67,610.0,1.1,0.0,0.0,0.0,0.025
184,0.024,1037.0,12.18,615.0,0.6,0.0,0.0,0.0,0.024
185,0.026,1043.0,11.3,615.0,0.97,0.0,0.0,0.0,0.026
186,0.025,1040.0,10.4,618.0,0.93,0.0,0.0,0.0,0.025
187,0.026,1044.0,10.7,616.0,1.09,0.0,0.0,0.0,0.026
188,0.025,1040.0,10.93,611.0,1.11,0.0,0.0,0.0,0.025
189,0.026,1040.0,12.48,619.0,0.91,0.0,0.0,0.0,0.026
190,0.03,1038.0,14.67,619.0,0.94,0.0,0.0,0.0,0.03
191,0.026,1044.0,10.74,617.0,1.33,0.0,0.0,0.0,0.026
192,0.026,1045.0,12.0,608.0,1.16,0.0,0.0,0.0,0.026
193,0.019,1008.0,7.15,608.0,1.18,0.0,0.0,0.0,0.019
194,0.015,1001.0,5.91,611.0,1.1,0.0,0.0,0.0,0.015
195,0.03,1053.0,12.31,692.0,1.51,0.0,712.0,0.42,0.03
196,0.046,1068.0,13.8,610.0,1.46,0.0,0.0,0.0,0.046
197,0.026,1041.0,11.32,614.0,1.04,0.0,0.0,0.0,0.026
198,0.025,1035.0,10.63,619.0,0.91,0.0,0.0,0.0,0.025
199,0.028,1043.0,12.36,618.0,1.32,0.0,0.0,0.0,0.028
200,0.023,1038.0,12.33,608.0,0.78,0.0,0.0,0.0,0.023
201,0.028,1042.0,11.73,615.0,0.98,0.0,0.0,0.0,0.028
202,0.026,1047.0,11.56,617.0,1.25,0.0,0.0,0.0,0.026
203,0.025,1038.0,11.03,610.0,1.14,0.0,0.0,0.0,0.025
204,0.025,1040.0,10.84,615.0,1.35,0.0,0.0,0.0,0.025
205,0.041,1034.0,22.25,613.0,1.08,0.0,0.0,0.0,0.041
206,0.025,1038.0,10.02,619.0,0.92,0.0,0.0,0.0,0.025
207,0.026,1041.0,10.84,619.0,0.91,0.0,0.0,0.0,0.026
208,0.026,1043.0,10.14,619.0,0.97,0.0,0.0,0.0,0.026
209,0.025,1035.0,11.15,613.0,1.14,0.0,0.0,0.0,0.025
210,0.014,981.0,4.69,609.0,1.11,0.0,0.0,0.0,0.014
211,0.021,1031.0,7.57,611.0,1.14,0.0,0.0,0.0,0.021
212,0.026,1039.0,11.91,616.0,0.95,0.0,0.0,0.0,0.026
213,0.027,1039.0,11.29,618.0,0.88,0.0,0.0,0.0,0.027
214,0.026,1038.0,11.14,619.0,1.06,0.0,0.0,0.0,0.026
215,0.026,1040.0,11.08,612.0,1.28,0.0,0.0,0.0,0.026
216,0.024,1035.0,10.94,614.0,1.15,0.0,0.0,0.0,0.024
217,0.025,1038.0,10.54,613.0,1.13,0.0,0.0,0.0,0.025
218,0.024,1040.0,10.73,611.0,1.42,0.0,0.0,0.0,0.024
219,0.026,1041.0,11.82,611.0,1.1,0.0,0.0,0.0,0.026
220,0.026,1040.0,11.26,618.0,1.09,0.0,0.0,0.0,0.026
221,0.029,1040.0,13.74,613.0,1.18,0.0,0.0,0.0,0.029
222,0.022,1033.0,11.57,608.0,0.77,0.0,0.0,0.0,0.022
223,0.025,1048.0,10.28,613.0,1.4,0.0,0.0,0.0,0.025
224,0.026,1043.0,10.46,612.0,1.13,0.0,0.0,0.0,0.026
225,0.025,1040.0,10.99,618.0,1.02,0.0,0.0,0.0,0.025
226,0.022,1011.0,8.36,612.0,1.0,0.0,0.0,0.0,0.022
227,0.014,996.0,4.72,611.0,1.03,0.0,0.0,0.0,0.014
228,0.023,1036.0,10.93,615.0,0.58,0.0,0.0,0.0,0.023
229,0.031,1051.0,12.99,615.0,0.97,0.0,0.0,0.0,0.031
230,0.033,1047.0,12.63,631.0,1.64,0.0,713.0,0.51,0.033
231,0.027,1039.0,13.33,609.0,0.78,0.0,0.0,0.0,0.027
232,0.025,1043.0,10.66,615.0,1.22,0.0,0.0,0.0,0.025
233,0.025,1038.0,10.76,614.0,1.03,0.0,0.0,0.0,0.025
234,0.03,1040.0,14.44,617.0,1.13,0.0,0.0,0.0,0.03
235,0.036,1038.0,31.39,609.0,1.15,0.0,0.0,0.0,0.036
236,0.025,1037.0,14.14,608.0,0.78,0.0,0.0,0.0,0.025
237,0.023,1038.0,11.89,611.0,0.55,0.0,0.0,0.0,0.023
238,0.024,1042.0,12.39,610.0,0.73,0.0,0.0,0.0,0.024
239,0.025,1039.0,11.63,613.0,0.78,0.0,0.0,0.0,0.025
240,0.026,1044.0,11.98,614.0,1.12,0.0,0.0,0.0,0.026
241,0.027,1043.0,12.39,610.0,1.2,0.0,0.0,0.0,0.027
242,0.026,1039.0,12.49,612.0,0.97,0.0,0.0,0.0,0.026
243,0.023,1022.0,9.24,616.0,0.9,0.0,0.0,0.0,0.023
244,0.013,984.0,3.92,610.0,1.18,0.0,0.0,0.0,0.013
