Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentB CPU ms/s,Adapted
84,4.825,1681.0,20.33,3066.0,100.0,0.0,0.0,0.0,4.825,1253.78,1149.58,false
85,4.748,1694.0,21.04,3070.0,99.56,0.0,0.0,0.0,4.748,1245.76,1153.23,false
86,4.814,1670.0,17.09,3066.0,100.0,0.0,0.0,0.0,4.814,1255.81,1151.23,false
87,4.817,1673.0,19.13,3066.0,100.0,0.0,0.0,0.0,4.817,1252.38,1147.93,false
88,4.829,1658.0,19.17,3066.0,100.0,0.0,0.0,0.0,4.829,1254.59,1157.15,false
89,4.838,1674.0,21.05,3066.0,100.0,0.0,709.0,0.22,4.838,1268.19,1150.96,false
90,4.804,1687.0,21.66,3068.0,99.86,0.0,0.0,0.0,4.804,1254.35,1153.34,false
91,4.805,1674.0,21.85,3067.0,99.89,0.0,708.0,0.22,4.805,1247.79,1152.01,false
92,4.774,1691.0,20.24,3069.0,99.75,0.0,0.0,0.0,4.774,1230.21,1150.51,false
93,4.78,1686.0,24.39,3069.0,99.87,0.001,711.0,0.75,4.781,1230.88,1141.82,false
94,4.889,1710.0,33.04,3066.0,100.0,0.0,0.0,0.0,4.889,1267.78,1162.52,false
95,4.814,1674.0,22.35,3068.0,99.84,0.0,712.0,0.32,4.814,1259.36,1154.43,false
96,4.839,1664.0,21.28,3066.0,100.0,0.0,0.0,0.0,4.839,1259.33,1147.66,false
97,4.821,1668.0,19.37,3066.0,100.0,0.0,0.0,0.0,4.821,1259.38,1149.63,false
98,5.078,1707.0,67.57,3067.0,100.0,0.0,0.0,0.0,5.078,1264.96,1165.48,false
99,5.961,1807.0,92.96,3044.0,99.91,0.0,708.0,0.22,5.961,1260.65,1162.51,false
100,6.7,2034.0,48.39,2996.0,99.84,0.0,0.0,0.0,6.7,1259.07,1153.52,false
101,5.707,1781.0,41.98,3046.0,99.83,0.0,709.0,0.22,5.707,1258.62,1150.86,false
102,4.822,1680.0,20.15,3066.0,100.0,0.0,0.0,0.0,4.822,1263.95,1153.61,false
103,4.766,1702.0,25.07,3071.0,99.75,0.0,0.0,0.0,4.766,1249.97,1152.78,false
104,4.887,1715.0,34.86,3068.0,100.0,0.0,0.0,0.0,4.887,1249.34,1156.38,false
105,4.752,1699.0,25.16,3071.0,99.66,0.0,0.0,0.0,4.752,1224.39,1141.76,false
106,4.812,1663.0,15.9,3066.0,100.0,0.0,0.0,0.0,4.812,1260.39,1153.28,false
