Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
171,0.017,1016.0,5.29,609.0,1.51,0.0,0.0,0.0,0.017
172,0.026,1043.0,10.01,613.0,1.14,0.0,0.0,0.0,0.026
173,0.026,1040.0,10.49,617.0,1.02,0.0,0.0,0.0,0.026
174,0.025,1042.0,10.82,616.0,1.05,0.0,0.0,0.0,0.025
175,0.027,1044.0,10.17,615.0,0.99,0.0,0.0,0.0,0.027
176,0.024,1046.0,10.14,617.0,1.04,0.0,0.0,0.0,0.024
177,0.027,1042.0,11.38,618.0,1.05,0.0,0.0,0.0,0.027
178,0.026,1044.0,9.95,616.0,1.35,0.0,0.0,0.0,0.026
179,0.027,1046.0,12.61,612.0,1.4,0.0,0.0,0.0,0.027
180,0.025,1042.0,10.11,610.0,1.56,0.0,0.0,0.0,0.025
181,0.047,1137.0,20.93,614.0,1.27,0.0,0.0,0.0,0.047
182,0.025,1040.0,10.43,616.0,1.09,0.0,0.0,0.0,0.025
183,0.038,1042.0,29.97,616.0,1.01,0.0,0.0,0.0,0.038
184,0.026,1044.0,10.64,616.0,0.96,0.0,0.0,0.0,0.026
185,0.025,1040.0,10.22,617.0,0.98,0.0,0.0,0.0,0.025
186,0.027,1042.0,11.42,617.0,0.96,0.0,0.0,0.0,0.027
187,0.022,1020.0,7.66,612.0,0.8,0.0,0.0,0.0,0.022
188,0.02,1009.0,6.32,768.0,1.01,0.0,713.0,0.52,0.02
189,0.021,1040.0,9.21,609.0,1.0,0.0,0.0,0.0,0.021
190,0.027,1042.0,10.93,614.0,1.11,0.0,0.0,0.0,0.027
191,0.26,1074.0,62.1,1100.0,18.88,0.0,0.0,0.0,0.26
192,0.025,1039.0,11.26,612.0,0.81,0.0,0.0,0.0,0.025
193,0.026,1047.0,10.86,620.0,1.05,0.0,0.0,0.0,0.026
194,0.027,1043.0,10.54,616.0,1.13,0.0,0.0,0.0,0.027
195,0.025,1043.0,10.51,617.0,1.05,0.0,0.0,0.0,0.025
196,0.026,1042.0,10.69,616.0,0.96,0.0,0.0,0.0,0.026
197,0.025,1045.0,10.38,617.0,0.99,0.0,0.0,0.0,0.025
198,0.027,1045.0,10.5,616.0,0.98,0.0,0.0,0.0,0.027
199,0.025,1046.0,9.9,616.0,1.1,0.0,0.0,0.0,0.025
200,0.027,1046.0,9.62,615.0,1.41,0.0,0.0,0.0,0.027
201,0.032,1037.0,15.43,613.0,1.26,0.0,0.0,0.0,0.032
202,0.031,1049.0,12.77,748.0,1.26,0.0,714.0,0.61,0.031
203,0.379,1154.0,54.78,921.0,13.44,0.0,0.0,0.0,0.379
204,0.026,1040.0,13.35,613.0,0.68,0.0,704.0,0.22,0.026
205,0.02,1018.0,7.16,610.0,0.84,0.0,0.0,0.0,0.02
206,0.016,997.0,4.53,616.0,0.92,0.0,0.0,0.0,0.016
207,0.025,1039.0,9.47,620.0,0.97,0.0,0.0,0.0,0.025
208,0.027,1044.0,12.5,614.0,0.74,0.0,0.0,0.0,0.027
209,0.024,1039.0,12.13,610.0,0.98,0.0,0.0,0.0,0.024
210,0.027,1039.0,10.93,620.0,0.99,0.0,0.0,0.0,0.027
211,0.025,1038.0,10.4,619.0,0.98,0.0,0.0,0.0,0.025
212,0.038,1035.0,29.97,618.0,1.38,0.0,0.0,0.0,0.038
213,0.026,1037.0,10.64,613.0,1.08,0.0,0.0,0.0,0.026
214,0.026,1040.0,10.6,618.0,0.96,0.0,0.0,0.0,0.026
215,0.024,1040.0,11.1,615.0,0.64,0.0,0.0,0.0,0.024
216,0.026,1045.0,9.75,615.0,1.34,0.0,0.0,0.0,0.026
217,0.024,1041.0,10.33,612.0,1.18,0.0,0.0,0.0,0.024
218,0.026,1040.0,10.83,613.0,1.11,0.0,0.0,0.0,0.026
219,0.038,1040.0,18.22,617.0,1.19,0.0,0.0,0.0,0.038
220,0.085,1053.0,75.41,680.0,1.33,0.0,711.0,0.42,0.085
221,0.025,1043.0,10.32,618.0,1.02,0.0,0.0,0.0,0.025
222,0.021,1011.0,7.34,615.0,0.96,0.0,0.0,0.0,0.021
223,0.013,994.0,5.69,608.0,0.78,0.0,0.0,0.0,0.013
224,0.025,1046.0,9.29,614.0,1.45,0.0,0.0,0.0,0.025
225,0.026,1040.0,10.68,613.0,1.11,0.0,0.0,0.0,0.026
226,0.024,1042.0,11.07,614.0,0.85,0.0,0.0,0.0,0.024
227,0.025,1041.0,10.02,612.0,1.14,0.0,0.0,0.0,0.025
228,0.027,1040.0,11.14,619.0,0.99,0.0,0.0,0.0,0.027
229,0.023,1039.0,11.06,615.0,0.76,0.0,0.0,0.0,0.023
230,0.024,1037.0,11.37,611.0,0.76,0.0,0.0,0.0,0.024
231,0.025,1042.0,10.24,616.0,1.4,0.0,0.0,0.0,0.025
232,0.026,1038.0,10.38,612.0,1.39,0.0,0.0,0.0,0.026
233,0.025,1037.0,10.41,614.0,1.07,0.0,0.0,0.0,0.025
234,0.025,1040.0,10.33,618.0,0.98,0.0,0.0,0.0,0.025
235,0.026,1043.0,10.22,618.0,1.16,0.0,0.0,0.0,0.026
236,0.092,1038.0,73.13,616.0,1.27,0.0,0.0,0.0,0.092
237,0.026,1038.0,10.2,611.0,1.56,0.0,0.0,0.0,0.026
238,0.024,1043.0,10.0,611.0,1.49,0.0,0.0,0.0,0.024
239,0.022,1017.0,7.15,609.0,1.28,0.0,0.0,0.0,0.022
240,0.014,993.0,3.96,611.0,1.08,0.0,0.0,0.0,0.014
241,0.025,1039.0,9.51,620.0,0.94,0.0,0.0,0.0,0.025
242,0.039,1033.0,19.86,615.0,0.64,0.0,0.0,0.0,0.039
243,0.026,1043.0,10.44,616.0,0.99,0.0,0.0,0.0,0.026
244,0.027,1040.0,10.98,619.0,0.97,0.0,0.0,0.0,0.027
245,0.025,1035.0,10.51,619.0,1.03,0.0,0.0,0.0,0.025
246,0.033,1051.0,11.54,766.0,1.58,0.0,713.0,0.51,0.033
247,0.027,1042.0,10.64,617.0,1.09,0.0,0.0,0.0,0.027
248,0.024,1037.0,11.29,615.0,0.65,0.0,0.0,0.0,0.024
249,0.026,1039.0,10.45,616.0,1.0,0.0,0.0,0.0,0.026
250,0.025,1040.0,10.23,618.0,1.05,0.0,0.0,0.0,0.025
251,0.026,1040.0,10.08,615.0,1.01,0.0,0.0,0.0,0.026
252,0.044,1083.0,18.99,615.0,1.09,0.0,0.0,0.0,0.044
253,0.162,1102.0,97.91,609.0,1.16,0.001,707.0,0.86,0.164
254,0.132,1043.0,99.96,608.0,1.21,0.0,0.0,0.0,0.132
255,0.059,1073.0,25.19,619.0,2.44,0.0,704.0,0.22,0.059
256,0.027,1040.0,11.5,619.0,1.1,0.0,0.0,0.0,0.027
257,0.014,985.0,5.38,612.0,1.07,0.0,0.0,0.0,0.014
258,0.02,1022.0,7.7,608.0,0.85,0.0,0.0,0.0,0.02
259,0.025,1039.0,10.41,617.0,0.99,0.0,0.0,0.0,0.025
260,0.026,1039.0,10.5,619.0,0.99,0.0,0.0,0.0,0.026
261,0.026,1040.0,10.15,618.0,1.3,0.0,0.0,0.0,0.026
262,0.026,1041.0,10.98,614.0,1.08,0.0,0.0,0.0,0.026
263,0.025,1038.0,10.12,619.0,0.96,0.0,0.0,0.0,0.025
264,0.026,1039.0,10.59,619.0,0.98,0.0,0.0,0.0,0.026
265,0.024,1041.0,11.0,615.0,0.88,0.0,0.0,0.0,0.024
266,0.028,1046.0,11.58,655.0,1.45,0.0,712.0,0.41,0.028
267,0.027,1038.0,11.26,615.0,1.1,0.0,0.0,0.0,0.027
268,0.026,1043.0,10.42,618.0,1.01,0.0,0.0,0.0,0.026
269,0.027,1039.0,10.97,620.0,1.1,0.0,0.0,0.0,0.027
270,0.024,1038.0,10.85,614.0,0.99,0.0,0.0,0.0,0.024
271,0.12,1103.0,74.37,608.0,1.24,0.0,702.0,0.45,0.12
272,0.033,1041.0,16.36,612.0,1.15,0.0,0.0,0.0,0.033
273,0.028,1038.0,12.22,615.0,0.96,0.0,704.0,0.22,0.028
274,0.011,982.0,3.34,608.0,1.07,0.0,0.0,0.0,0.011
275,0.019,1030.0,8.51,608.0,1.02,0.0,0.0,0.0,0.019
276,0.03,1054.0,13.95,611.0,1.55,0.0,0.0,0.0,0.03
277,0.027,1042.0,11.14,613.0,1.14,0.0,0.0,0.0,0.027
278,0.028,1040.0,13.24,616.0,1.02,0.0,0.0,0.0,0.028
279,0.026,1040.0,10.18,619.0,0.98,0.0,0.0,0.0,0.026
280,0.024,1034.0,11.28,615.0,0.66,0.0,0.0,0.0,0.024
281,0.029,1042.0,13.07,617.0,0.98,0.0,710.0,0.32,0.029
282,0.062,1127.0,20.49,618.0,1.23,0.0,0.0,0.0,0.062
283,0.028,1039.0,12.52,615.0,1.11,0.0,704.0,0.22,0.028
284,0.025,1042.0,10.44,618.0,0.98,0.0,0.0,0.0,0.025
285,0.025,1039.0,11.78,615.0,0.83,0.0,0.0,0.0,0.025
286,0.027,1042.0,10.47,614.0,1.08,0.0,0.0,0.0,0.027
287,0.024,1034.0,12.33,615.0,0.66,0.0,0.0,0.0,0.024
288,0.119,1085.0,93.48,617.0,1.01,0.0,702.0,0.45,0.12
289,0.026,1038.0,11.02,616.0,1.22,0.0,0.0,0.0,0.026
290,0.025,1031.0,11.97,608.0,0.93,0.0,703.0,0.22,0.025
291,0.01,981.0,3.43,607.0,1.08,0.0,0.0,0.0,0.01
292,0.033,1042.0,12.88,616.0,1.58,0.0,708.0,0.32,0.033
293,0.026,1036.0,10.38,618.0,1.01,0.0,0.0,0.0,0.026
294,0.026,1038.0,10.92,618.0,1.17,0.0,0.0,0.0,0.026
295,0.024,1039.0,11.24,615.0,0.72,0.0,0.0,0.0,0.024
296,0.025,1039.0,11.16,613.0,0.99,0.0,0.0,0.0,0.025
297,0.025,1048.0,10.09,609.0,1.53,0.0,0.0,0.0,0.025
298,0.025,1045.0,10.42,611.0,1.16,0.0,0.0,0.0,0.025
299,0.026,1041.0,10.52,615.0,1.16,0.0,0.0,0.0,0.026
300,0.038,1033.0,20.93,613.0,0.62,0.0,0.0,0.0,0.038
301,0.026,1042.0,10.87,613.0,1.09,0.0,0.0,0.0,0.026
302,0.026,1040.0,11.24,619.0,0.98,0.0,0.0,0.0,0.026
303,0.04,1041.0,17.9,681.0,1.2,0.0,712.0,0.42,0.04
304,0.027,1043.0,10.51,618.0,1.05,0.0,0.0,0.0,0.027
305,0.027,1036.0,13.95,615.0,0.65,0.0,709.0,0.64,0.027
306,0.027,1046.0,11.08,616.0,1.0,0.0,0.0,0.0,0.027
307,0.025,1037.0,9.4,615.0,1.04,0.0,0.0,0.0,0.025
308,0.011,981.0,3.47,608.0,1.08,0.0,0.0,0.0,0.011
309,0.022,1032.0,8.09,612.0,1.14,0.0,0.0,0.0,0.022
310,0.026,1036.0,10.84,619.0,0.99,0.0,0.0,0.0,0.026
311,0.026,1040.0,10.55,619.0,0.99,0.0,0.0,0.0,0.026
312,0.026,1039.0,10.87,616.0,1.2,0.0,0.0,0.0,0.026
313,0.025,1038.0,10.23,612.0,1.14,0.0,0.0,0.0,0.025
314,0.026,1040.0,10.55,619.0,0.98,0.0,0.0,0.0,0.026
315,0.025,1041.0,12.91,615.0,0.89,0.0,0.0,0.0,0.025
316,0.025,1039.0,10.94,612.0,1.13,0.0,0.0,0.0,0.025
317,0.027,1039.0,11.11,618.0,0.98,0.0,0.0,0.0,0.027
318,0.026,1038.0,10.82,618.0,1.24,0.0,0.0,0.0,0.026
319,0.025,1048.0,10.26,613.0,1.5,0.0,0.0,0.0,0.025
320,0.133,1044.0,92.8,679.0,2.17,0.0,709.0,0.32,0.133
321,0.155,1052.0,99.92,611.0,1.47,0.0,0.0,0.0,0.155
322,0.093,1051.0,89.55,614.0,1.12,0.0,712.0,0.42,0.093
323,0.037,1044.0,12.88,615.0,1.03,0.0,705.0,0.22,0.037
324,0.052,1080.0,16.7,607.0,1.03,0.0,0.0,0.0,0.052
325,0.014,993.0,5.52,611.0,1.52,0.0,0.0,0.0,0.014
