Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU HW active frequency MHz,GPU HW active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
224,4.987,1905.0,27.74,3059.0,100.0,0.0,712.0,0.31,4.987,194.26,1137.22,1150.36
225,4.893,1904.0,17.51,3061.0,100.0,0.0,0.0,0.0,4.893,190.38,1151.62,1147.06
226,4.946,1889.0,12.62,3056.0,100.0,0.001,711.0,0.54,4.947,191.68,1142.38,1143.05
227,4.9,1878.0,15.8,3059.0,100.0,0.0,0.0,0.0,4.9,191.88,1144.35,1147.72
228,4.92,1856.0,14.07,3058.0,100.0,0.0,0.0,0.0,4.92,192.73,1146.29,1152.7
229,4.926,1933.0,12.41,3056.0,100.0,0.0,0.0,0.0,4.926,189.65,1141.68,1148.52
230,4.896,1925.0,14.47,3057.0,100.0,0.0,0.0,0.0,4.896,190.69,1139.72,1146.65
231,4.91,1903.0,14.89,3058.0,100.0,0.0,0.0,0.0,4.91,189.34,1139.99,1143.98
232,4.922,1901.0,14.6,3057.0,100.0,0.0,0.0,0.0,4.922,197.01,1141.3,1147.65
233,4.932,1844.0,14.12,3057.0,100.0,0.0,0.0,0.0,4.932,191.9,1152.26,1140.43
234,4.915,1860.0,15.1,3057.0,100.0,0.0,0.0,0.0,4.915,192.02,1147.81,1156.33
235,4.928,1834.0,14.73,3062.0,100.0,0.0,0.0,0.0,4.928,191.41,1143.51,1151.77
236,5.243,1945.0,17.27,3051.0,100.0,0.0,710.0,0.22,5.243,193.42,1144.18,1144.52
237,4.905,1872.0,14.78,3057.0,100.0,0.001,720.0,0.09,4.906,191.09,1147.76,1147.81
238,4.921,1867.0,22.21,3059.0,100.0,0.0,0.0,0.0,4.921,194.51,1144.85,1150.63
