Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s
101,4.92,1942.0,18.66,3055.0,100.0,0.0,0.0,0.0,4.92,189.56,1143.13,1144.24
102,4.921,1973.0,18.16,3055.0,100.0,0.0,0.0,0.0,4.921,188.43,1142.6,1141.06
103,4.917,1843.0,20.43,3057.0,100.0,0.0,0.0,0.0,4.917,190.67,1136.65,1148.54
104,4.918,1876.0,23.21,3060.0,100.0,0.0,0.0,0.0,4.918,192.73,1154.99,1155.88
105,4.887,1864.0,20.66,3060.0,100.0,0.0,0.0,0.0,4.887,190.12,1139.17,1150.45
106,4.883,1817.0,16.93,3058.0,100.0,0.0,0.0,0.0,4.883,192.78,1140.26,1137.5
107,4.902,1815.0,23.4,3060.0,100.0,0.0,0.0,0.0,4.902,194.53,1149.84,1153.18
108,4.906,1789.0,22.81,3061.0,100.0,0.0,0.0,0.0,4.906,192.34,1139.85,1153.84
109,4.916,1806.0,22.07,3060.0,100.0,0.0,0.0,0.0,4.916,194.76,1154.02,1150.13
110,4.887,1872.0,22.62,3059.0,100.0,0.0,0.0,0.0,4.887,188.44,1135.31,1145.8
111,4.919,1807.0,22.64,3060.0,100.0,0.0,0.0,0.0,4.919,195.26,1153.79,1149.62
112,4.893,1877.0,21.66,3058.0,100.0,0.0,0.0,0.0,4.893,192.39,1133.85,1142.76
113,4.924,1893.0,19.2,3055.0,100.0,0.0,0.0,0.0,4.924,192.49,1144.34,1149.19
114,4.922,1876.0,18.58,3055.0,100.0,0.0,0.0,0.0,4.922,189.24,1141.98,1149.29
115,4.923,1942.0,18.28,3055.0,100.0,0.0,0.0,0.0,4.923,188.5,1142.9,1142.8
116,4.884,1838.0,24.54,3062.0,100.0,0.0,0.0,0.0,4.884,193.26,1146.19,1144.24
117,5.141,1864.0,31.12,3062.0,100.0,0.0,0.0,0.0,5.141,187.36,1146.78,1150.9
118,4.925,1869.0,20.14,3057.0,100.0,0.0,0.0,0.0,4.925,190.6,1144.54,1147.9
119,4.915,1942.0,19.6,3058.0,100.0,0.0,0.0,0.0,4.915,187.92,1138.97,1147.92
120,4.9,1879.0,21.63,3060.0,100.0,0.0,0.0,0.0,4.9,191.62,1145.8,1147.65
121,4.902,1858.0,23.14,3059.0,100.0,0.001,715.0,0.51,4.903,193.13,1145.75,1147.08
