Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,Adapted
106,3.282,1134.0,25.16,3179.0,100.0,0.0,0.0,0.0,3.282,1159.51,false
107,3.23,1101.0,8.14,3179.0,100.0,0.0,0.0,0.0,3.23,1152.73,false
108,3.252,1122.0,12.19,3179.0,100.0,0.0,0.0,0.0,3.252,1166.18,false
109,3.243,1101.0,12.25,3179.0,100.0,0.0,0.0,0.0,3.243,1152.68,false
110,3.25,1119.0,11.86,3179.0,100.0,0.0,0.0,0.0,3.25,1164.07,false
111,3.247,1126.0,12.73,3179.0,100.0,0.0,0.0,0.0,3.247,1158.19,false
112,3.246,1108.0,12.51,3179.0,100.0,0.0,0.0,0.0,3.246,1152.36,false
113,3.249,1116.0,12.06,3179.0,100.0,0.0,0.0,0.0,3.249,1165.68,false
114,3.24,1128.0,12.1,3179.0,100.0,0.0,0.0,0.0,3.24,1155.45,false
115,3.237,1117.0,12.24,3179.0,100.0,0.0,0.0,0.0,3.237,1155.18,false
116,3.241,1139.0,12.25,3179.0,100.0,0.0,0.0,0.0,3.241,1163.8,false
117,3.245,1127.0,12.42,3179.0,100.0,0.0,0.0,0.0,3.245,1153.12,false
118,3.249,1103.0,11.83,3179.0,100.0,0.0,0.0,0.0,3.249,1164.35,false
119,3.251,1124.0,12.24,3179.0,100.0,0.0,0.0,0.0,3.251,1154.22,false
120,3.245,1124.0,12.25,3179.0,100.0,0.0,0.0,0.0,3.245,1163.38,false
121,3.238,1113.0,12.17,3179.0,100.0,0.0,0.0,0.0,3.238,1152.09,false
122,3.252,1141.0,12.68,3179.0,100.0,0.0,0.0,0.0,3.252,1164.82,false
123,3.247,1126.0,12.22,3179.0,100.0,0.0,0.0,0.0,3.247,1153.07,false
124,3.251,1127.0,12.35,3179.0,100.0,0.0,0.0,0.0,3.251,1165.63,false
125,3.236,1096.0,11.01,3179.0,100.0,0.0,0.0,0.0,3.236,1152.27,false
126,3.227,1062.0,7.03,3179.0,100.0,0.0,0.0,0.0,3.227,1166.01,false
127,3.25,1136.0,12.58,3179.0,100.0,0.0,0.0,0.0,3.25,1154.6,false
128,3.251,1096.0,12.31,3179.0,100.0,0.0,0.0,0.0,3.251,1160.15,false
129,3.248,1091.0,12.3,3179.0,100.0,0.0,0.0,0.0,3.248,1150.39,false
130,3.248,1126.0,12.09,3179.0,100.0,0.0,0.0,0.0,3.248,1167.82,false
131,3.243,1142.0,12.29,3179.0,100.0,0.0,0.0,0.0,3.243,1155.0,false
132,3.251,1121.0,12.25,3179.0,100.0,0.0,0.0,0.0,3.251,1162.77,false
133,3.244,1116.0,12.16,3179.0,100.0,0.0,0.0,0.0,3.244,1151.93,false
134,3.246,1135.0,12.18,3179.0,100.0,0.0,0.0,0.0,3.246,1155.79,false
135,3.244,1098.0,12.17,3179.0,100.0,0.0,0.0,0.0,3.244,1165.93,false
136,3.278,1111.0,23.69,3179.0,100.0,0.0,0.0,0.0,3.278,1159.73,false
137,3.281,1148.0,15.47,3179.0,100.0,0.0,0.0,0.0,3.281,1159.02,false
138,3.263,1095.0,12.0,3178.0,100.0,0.0,0.0,0.0,3.263,1160.88,false
139,3.249,1110.0,12.32,3179.0,100.0,0.0,0.0,0.0,3.249,1151.94,false
140,3.252,1152.0,12.41,3179.0,100.0,0.0,0.0,0.0,3.252,1166.7,false
141,3.269,1107.0,12.9,3178.0,100.0,0.0,715.0,0.51,3.269,1161.81,false
142,3.273,1131.0,12.49,3178.0,100.0,0.0,0.0,0.0,3.273,1157.8,false
143,3.247,1131.0,12.32,3179.0,100.0,0.0,0.0,0.0,3.247,1157.91,false
144,3.249,1091.0,11.48,3179.0,100.0,0.0,0.0,0.0,3.249,1160.73,false
145,3.229,1083.0,7.33,3179.0,100.0,0.0,0.0,0.0,3.229,1153.18,false
146,3.267,1125.0,13.38,3179.0,100.0,0.0,0.0,0.0,3.267,1163.26,false
147,3.244,1097.0,12.22,3179.0,100.0,0.0,0.0,0.0,3.244,1159.72,false
148,3.25,1116.0,12.2,3179.0,100.0,0.0,0.0,0.0,3.25,1156.93,false
149,3.252,1094.0,12.24,3179.0,100.0,0.0,0.0,0.0,3.252,1154.62,false
150,3.242,1113.0,12.06,3179.0,100.0,0.0,0.0,0.0,3.242,1162.66,false
151,3.25,1134.0,12.41,3179.0,100.0,0.0,0.0,0.0,3.25,1155.71,false
152,3.247,1100.0,12.24,3179.0,100.0,0.0,0.0,0.0,3.247,1164.33,false
153,3.245,1136.0,12.33,3179.0,100.0,0.0,0.0,0.0,3.245,1154.95,false
154,3.247,1144.0,12.04,3179.0,100.0,0.0,0.0,0.0,3.247,1155.16,false
155,3.245,1102.0,12.07,3179.0,100.0,0.0,0.0,0.0,3.245,1163.19,false
156,3.255,1130.0,12.61,3179.0,100.0,0.0,0.0,0.0,3.255,1153.67,false
157,3.25,1115.0,12.3,3179.0,100.0,0.0,0.0,0.0,3.25,1161.78,false
158,3.246,1131.0,12.06,3179.0,100.0,0.0,0.0,0.0,3.246,1158.99,false
159,3.248,1136.0,12.12,3179.0,100.0,0.0,0.0,0.0,3.248,1155.42,false
160,3.24,1126.0,12.09,3179.0,100.0,0.0,0.0,0.0,3.24,1166.88,false
161,3.254,1137.0,12.76,3179.0,100.0,0.0,0.0,0.0,3.254,1156.69,false
162,3.241,1082.0,12.41,3179.0,100.0,0.0,0.0,0.0,3.241,1159.24,false
163,3.246,1128.0,11.02,3179.0,100.0,0.0,0.0,0.0,3.246,1157.57,false
164,3.222,1067.0,7.25,3179.0,100.0,0.0,0.0,0.0,3.222,1156.66,false
165,3.264,1145.0,23.67,3179.0,100.0,0.0,0.0,0.0,3.264,1156.31,false
166,3.263,1139.0,12.32,3179.0,100.0,0.0,0.0,0.0,3.263,1163.15,false
167,3.245,1123.0,12.31,3179.0,100.0,0.0,0.0,0.0,3.245,1153.35,false
168,3.26,1130.0,12.58,3179.0,100.0,0.0,0.0,0.0,3.26,1163.88,false
169,3.246,1106.0,12.16,3179.0,100.0,0.0,0.0,0.0,3.246,1154.49,false
170,3.252,1110.0,12.24,3179.0,100.0,0.0,0.0,0.0,3.252,1156.19,false
171,3.25,1100.0,12.66,3179.0,100.0,0.0,0.0,0.0,3.25,1160.21,false
172,3.257,1114.0,12.23,3179.0,100.0,0.0,0.0,0.0,3.257,1157.47,false
173,3.243,1070.0,12.05,3179.0,100.0,0.0,0.0,0.0,3.243,1163.58,false
174,3.251,1119.0,11.98,3179.0,100.0,0.0,0.0,0.0,3.251,1157.08,false
175,3.247,1112.0,12.09,3179.0,100.0,0.0,0.0,0.0,3.247,1162.01,false
176,3.251,1128.0,12.33,3179.0,100.0,0.0,0.0,0.0,3.251,1157.67,false
177,3.266,1125.0,14.09,3178.0,100.0,0.0,711.0,0.53,3.266,1157.69,false
178,3.263,1114.0,13.2,3179.0,100.0,0.0,0.0,0.0,3.263,1154.54,false
179,3.254,1107.0,12.64,3179.0,100.0,0.0,0.0,0.0,3.254,1164.15,false
180,3.241,1137.0,12.19,3179.0,100.0,0.0,0.0,0.0,3.241,1156.9,false
181,3.262,1124.0,12.38,3179.0,100.0,0.0,0.0,0.0,3.262,1160.28,false
182,3.228,1096.0,9.67,3179.0,100.0,0.0,0.0,0.0,3.228,1157.75,false
183,3.241,1128.0,8.58,3179.0,100.0,0.0,0.0,0.0,3.241,1157.36,false
184,3.241,1115.0,12.42,3179.0,100.0,0.0,0.0,0.0,3.241,1156.93,false
185,3.243,1120.0,12.14,3179.0,100.0,0.0,0.0,0.0,3.243,1155.57,false
186,3.259,1102.0,12.51,3179.0,100.0,0.0,0.0,0.0,3.259,1164.14,false
187,3.243,1124.0,12.09,3179.0,100.0,0.0,0.0,0.0,3.243,1155.5,false
