Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s
98,3.328,1103.0,6.65,3173.0,100.0,0.0,0.0,0.0,3.328,1226.04
99,3.332,1127.0,5.9,3172.0,100.0,0.0,0.0,0.0,3.332,1240.79
100,3.319,1126.0,5.72,3172.0,100.0,0.0,0.0,0.0,3.319,1235.58
101,3.324,1128.0,5.95,3172.0,100.0,0.0,0.0,0.0,3.324,1232.27
102,3.398,1150.0,11.23,3170.0,100.0,0.0,714.0,0.41,3.398,1235.25
103,3.291,1144.0,5.85,3173.0,100.0,0.0,0.0,0.0,3.291,1226.14
104,3.329,1127.0,6.55,3172.0,100.0,0.0,0.0,0.0,3.329,1234.92
105,3.338,1128.0,5.77,3172.0,100.0,0.0,0.0,0.0,3.338,1226.7
106,3.343,1109.0,6.18,3172.0,100.0,0.0,0.0,0.0,3.343,1232.71
107,3.339,1113.0,6.21,3172.0,100.0,0.0,0.0,0.0,3.339,1231.01
108,3.303,1120.0,6.76,3173.0,100.0,0.0,0.0,0.0,3.303,1228.08
109,3.336,1124.0,7.79,3171.0,100.0,0.0,711.0,0.53,3.336,1237.93
110,3.33,1099.0,5.62,3172.0,100.0,0.0,0.0,0.0,3.33,1228.83
111,3.321,1120.0,6.02,3172.0,100.0,0.0,0.0,0.0,3.321,1234.16
112,3.318,1136.0,5.97,3173.0,100.0,0.0,0.0,0.0,3.318,1224.69
113,3.296,1114.0,5.63,3173.0,100.0,0.0,0.0,0.0,3.296,1226.89
114,3.298,1126.0,5.86,3173.0,100.0,0.0,0.0,0.0,3.298,1227.74
115,3.58,1166.0,8.21,3167.0,100.0,0.0,0.0,0.0,3.58,1224.03
116,3.336,1137.0,6.06,3171.0,100.0,0.0,0.0,0.0,3.336,1240.11
117,3.328,1144.0,5.71,3172.0,100.0,0.0,0.0,0.0,3.328,1238.4
118,3.285,1126.0,6.65,3173.0,100.0,0.0,0.0,0.0,3.285,1223.42
119,3.348,1166.0,14.5,3172.0,100.0,0.0,0.0,0.0,3.348,1220.69
120,3.317,1129.0,5.66,3172.0,100.0,0.0,0.0,0.0,3.317,1239.39
121,3.319,1098.0,5.79,3172.0,100.0,0.0,0.0,0.0,3.319,1230.65
122,3.336,1128.0,5.71,3172.0,100.0,0.0,0.0,0.0,3.336,1225.97
123,3.322,1112.0,5.64,3172.0,100.0,0.0,0.0,0.0,3.322,1237.27
124,3.321,1126.0,5.73,3172.0,100.0,0.0,0.0,0.0,3.321,1232.72
125,3.309,1150.0,5.58,3173.0,100.0,0.0,0.0,0.0,3.309,1225.31
126,3.353,1127.0,10.28,3172.0,100.0,0.0,0.0,0.0,3.353,1228.43
127,3.322,1110.0,5.71,3173.0,100.0,0.0,0.0,0.0,3.322,1227.74
128,3.33,1146.0,5.63,3172.0,100.0,0.0,0.0,0.0,3.33,1231.52
129,3.333,1142.0,5.74,3172.0,100.0,0.0,0.0,0.0,3.333,1237.06
130,3.311,1123.0,5.66,3172.0,100.0,0.0,0.0,0.0,3.311,1226.82
131,3.336,1153.0,6.1,3172.0,100.0,0.0,0.0,0.0,3.336,1237.24
132,3.343,1109.0,5.82,3172.0,100.0,0.0,0.0,0.0,3.343,1237.88
133,3.338,1124.0,5.73,3172.0,100.0,0.0,0.0,0.0,3.338,1237.2
134,3.31,1085.0,5.66,3173.0,100.0,0.0,0.0,0.0,3.31,1226.03
135,3.33,1139.0,5.42,3172.0,100.0,0.0,0.0,0.0,3.33,1232.07
136,3.335,1101.0,5.82,3172.0,100.0,0.0,0.0,0.0,3.335,1233.14
137,3.335,1130.0,5.8,3172.0,100.0,0.0,0.0,0.0,3.335,1243.34
138,3.337,1135.0,5.66,3172.0,100.0,0.0,0.0,0.0,3.337,1231.17
139,3.332,1106.0,5.7,3173.0,100.0,0.0,0.0,0.0,3.332,1229.2
140,3.319,1080.0,6.21,3172.0,100.0,0.0,0.0,0.0,3.319,1232.86
141,3.333,1157.0,5.87,3173.0,100.0,0.0,0.0,0.0,3.333,1229.82
142,3.337,1154.0,5.67,3172.0,100.0,0.0,0.0,0.0,3.337,1223.79
143,3.317,1112.0,6.31,3172.0,100.0,0.0,0.0,0.0,3.317,1231.0
144,3.345,1178.0,7.33,3172.0,99.75,0.001,716.0,0.61,3.346,1244.97
