Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W)
106,0.03,1051.0,16.96,608.0,1.03,0.0,711.0,0.41,0.03
107,0.036,1061.0,16.35,613.0,1.96,0.0,0.0,0.0,0.036
108,0.035,1056.0,17.42,611.0,1.57,0.0,0.0,0.0,0.035
109,0.028,1021.0,13.86,610.0,1.0,0.0,0.0,0.0,0.028
110,0.022,1011.0,9.95,610.0,1.05,0.0,0.0,0.0,0.022
111,0.032,1059.0,13.44,616.0,1.32,0.0,0.0,0.0,0.032
112,0.037,1051.0,18.63,610.0,1.32,0.0,0.0,0.0,0.037
113,0.036,1043.0,14.01,610.0,1.54,0.0,0.0,0.0,0.036
114,0.034,1050.0,15.53,616.0,1.57,0.0,0.0,0.0,0.034
115,0.037,1066.0,15.95,619.0,1.48,0.0,712.0,0.41,0.037
116,0.031,1059.0,14.37,619.0,1.53,0.0,0.0,0.0,0.031
117,0.031,1057.0,13.87,619.0,1.52,0.0,0.0,0.0,0.031
118,0.029,1060.0,13.9,615.0,0.99,0.0,0.0,0.0,0.029
119,0.03,1054.0,14.27,616.0,1.22,0.0,0.0,0.0,0.03
120,0.074,1110.0,25.97,660.0,5.7,0.0,0.0,0.0,0.074
121,0.042,1054.0,30.69,612.0,1.09,0.002,712.0,0.41,0.044
122,0.036,1059.0,25.15,607.0,0.96,0.0,0.0,0.0,0.036
123,0.03,1059.0,13.55,613.0,1.76,0.0,0.0,0.0,0.03
124,0.029,1054.0,14.88,616.0,0.99,0.0,0.0,0.0,0.029
125,0.127,1203.0,46.75,614.0,1.14,0.002,710.0,0.73,0.129
126,0.071,1085.0,39.6,611.0,1.47,0.002,707.0,0.54,0.073
127,0.039,1042.0,19.98,609.0,1.23,0.0,0.0,0.0,0.039
128,0.023,996.0,12.33,608.0,1.31,0.0,713.0,0.51,0.023
129,0.037,1061.0,22.7,608.0,0.75,0.0,0.0,0.0,0.037
130,0.054,1086.0,19.42,613.0,1.48,0.002,708.0,0.53,0.056
131,0.037,1063.0,18.53,613.0,1.37,0.0,0.0,0.0,0.037
132,0.031,1061.0,15.38,616.0,1.72,0.0,0.0,0.0,0.031
133,0.033,1061.0,14.05,616.0,1.72,0.0,0.0,0.0,0.033
134,0.03,1041.0,11.28,615.0,1.36,0.0,0.0,0.0,0.03
135,0.03,1044.0,13.53,614.0,1.24,0.0,0.0,0.0,0.03
136,0.033,1057.0,16.17,616.0,1.01,0.0,0.0,0.0,0.033
137,0.037,1055.0,17.64,615.0,1.38,0.0,703.0,0.23,0.037
138,0.035,1052.0,19.13,610.0,1.34,0.0,0.0,0.0,0.035
139,0.037,1066.0,17.01,611.0,1.84,0.001,707.0,0.54,0.038
140,0.036,1059.0,18.59,609.0,1.54,0.0,0.0,0.0,0.036
141,0.036,1053.0,18.67,610.0,1.51,0.0,0.0,0.0,0.036
142,0.034,1059.0,18.45,615.0,1.34,0.0,708.0,0.43,0.034
143,0.03,1052.0,15.44,612.0,1.3,0.0,0.0,0.0,0.03
144,0.031,1066.0,13.61,618.0,1.86,0.0,0.0,0.0,0.031
145,0.034,1058.0,17.04,615.0,1.03,0.0,704.0,0.45,0.034
146,0.025,1019.0,12.88,615.0,1.72,0.0,712.0,0.42,0.025
147,0.04,1077.0,20.82,610.0,1.14,0.0,0.0,0.0,0.04
148,0.029,1061.0,14.82,615.0,1.27,0.0,0.0,0.0,0.029
149,0.03,1047.0,16.96,609.0,0.99,0.0,0.0,0.0,0.03
150,0.034,1059.0,15.85,621.0,1.66,0.0,0.0,0.0,0.034
151,0.05,1058.0,29.11,617.0,1.65,0.0,0.0,0.0,0.05
152,0.031,1063.0,14.41,615.0,1.78,0.0,0.0,0.0,0.031
153,0.029,1056.0,14.22,612.0,1.41,0.0,0.0,0.0,0.029
154,0.031,1054.0,14.97,612.0,1.43,0.0,0.0,0.0,0.031
155,0.032,1042.0,12.38,612.0,1.08,0.0,0.0,0.0,0.032
156,0.029,1043.0,11.49,616.0,1.0,0.0,0.0,0.0,0.029
157,0.029,1059.0,14.1,615.0,1.16,0.0,0.0,0.0,0.029
158,0.029,1054.0,14.27,613.0,1.13,0.0,0.0,0.0,0.029
159,0.035,1054.0,17.88,616.0,1.0,0.0,0.0,0.0,0.035
160,0.035,1067.0,15.65,613.0,0.91,0.0,0.0,0.0,0.035
161,0.033,1061.0,16.62,612.0,1.34,0.0,0.0,0.0,0.033
162,0.038,1060.0,15.34,652.0,1.62,0.0,708.0,0.54,0.038
163,0.029,1058.0,14.89,608.0,1.3,0.0,0.0,0.0,0.029
164,0.02,1001.0,10.13,607.0,1.0,0.0,0.0,0.0,0.02
165,0.022,1034.0,12.1,607.0,0.93,0.0,0.0,0.0,0.022
166,0.031,1064.0,13.48,614.0,1.84,0.0,0.0,0.0,0.031
167,0.081,1232.0,30.79,609.0,1.62,0.0,0.0,0.0,0.081
168,0.074,1226.0,25.91,613.0,1.89,0.0,0.0,0.0,0.074
169,0.03,1050.0,14.62,614.0,1.1,0.0,0.0,0.0,0.03
170,0.031,1060.0,15.38,615.0,1.39,0.0,0.0,0.0,0.031
171,0.031,1056.0,14.72,614.0,1.74,0.0,0.0,0.0,0.031
172,0.031,1061.0,13.46,618.0,1.9,0.0,0.0,0.0,0.031
173,0.034,1057.0,17.08,722.0,1.6,0.0,713.0,0.52,0.034
174,0.041,1073.0,16.35,631.0,1.82,0.0,711.0,0.42,0.041
175,0.04,1051.0,20.56,620.0,1.6,0.0,0.0,0.0,0.04
176,0.031,1035.0,12.09,614.0,1.12,0.0,0.0,0.0,0.031
177,0.077,1073.0,28.86,617.0,1.48,0.0,0.0,0.0,0.077
178,0.03,1050.0,14.2,619.0,0.98,0.0,0.0,0.0,0.03
179,0.032,1050.0,13.76,623.0,1.64,0.0,0.0,0.0,0.032
180,0.05,1048.0,44.54,617.0,1.26,0.0,709.0,0.64,0.05
181,0.023,1019.0,11.05,612.0,1.22,0.0,0.0,0.0,0.023
182,0.02,1019.0,10.8,608.0,0.98,0.0,712.0,0.41,0.02
183,0.029,1054.0,14.18,613.0,1.47,0.0,0.0,0.0,0.029
184,0.031,1051.0,15.29,612.0,1.12,0.0,0.0,0.0,0.031
185,0.031,1053.0,13.21,622.0,1.47,0.0,0.0,0.0,0.031
186,0.031,1053.0,13.41,622.0,1.49,0.0,0.0,0.0,0.031
187,0.03,1053.0,13.51,622.0,1.49,0.0,0.0,0.0,0.03
188,0.029,1049.0,15.3,615.0,0.99,0.0,0.0,0.0,0.029
189,0.03,1056.0,13.99,611.0,1.8,0.0,0.0,0.0,0.03
190,0.032,1053.0,15.91,613.0,1.17,0.0,0.0,0.0,0.032
191,0.031,1048.0,14.24,621.0,1.58,0.0,0.0,0.0,0.031
192,0.03,1053.0,13.45,615.0,1.9,0.0,0.0,0.0,0.03
193,0.132,1107.0,61.18,612.0,1.23,0.0,0.0,0.0,0.132
194,0.13,1072.0,100.0,609.0,1.3,0.0,0.0,0.0,0.13
195,0.057,1048.0,47.73,611.0,1.15,0.0,0.0,0.0,0.057
196,0.031,1038.0,12.18,619.0,0.98,0.0,0.0,0.0,0.031
197,0.029,1052.0,14.42,617.0,1.06,0.0,0.0,0.0,0.029
198,0.099,1300.0,35.69,616.0,1.51,0.0,0.0,0.0,0.099
199,0.021,1013.0,10.9,610.0,1.09,0.0,0.0,0.0,0.021
200,0.03,1055.0,13.38,618.0,1.64,0.0,0.0,0.0,0.03
201,0.133,1368.0,45.61,612.0,0.99,0.0,0.0,0.0,0.133
202,0.056,1136.0,20.95,615.0,1.85,0.0,0.0,0.0,0.056
203,0.054,1088.0,21.36,625.0,1.21,0.0,711.0,0.42,0.054
204,0.032,1051.0,13.93,621.0,1.78,0.0,0.0,0.0,0.032
205,0.029,1051.0,15.5,616.0,1.0,0.0,0.0,0.0,0.029
206,0.033,1055.0,14.93,621.0,1.65,0.0,0.0,0.0,0.033
207,0.033,1054.0,16.98,618.0,1.54,0.0,0.0,0.0,0.033
208,0.108,1064.0,64.19,615.0,0.98,0.0,0.0,0.0,0.108
209,0.094,1061.0,63.63,609.0,1.36,0.0,0.0,0.0,0.094
210,0.32,1289.0,63.41,678.0,1.78,0.0,705.0,0.22,0.32
211,0.335,1433.0,86.64,682.0,1.97,0.0,0.0,0.0,0.335
212,0.066,1120.0,20.31,607.0,0.94,0.0,706.0,0.22,0.066
213,0.052,1088.0,19.28,608.0,1.17,0.0,0.0,0.0,0.052
214,0.034,1052.0,13.6,608.0,1.34,0.0,0.0,0.0,0.034
215,0.03,1007.0,13.9,607.0,1.12,0.0,0.0,0.0,0.03
216,0.21,1193.0,34.13,726.0,8.93,0.0,0.0,0.0,0.21
217,0.029,1051.0,12.36,613.0,1.44,0.0,0.0,0.0,0.029
218,0.028,1044.0,13.79,608.0,1.31,0.0,0.0,0.0,0.028
219,0.032,1046.0,16.06,612.0,1.24,0.0,0.0,0.0,0.032
220,0.036,1051.0,17.6,614.0,1.33,0.0,0.0,0.0,0.036
221,0.032,1054.0,16.63,613.0,1.5,0.0,709.0,0.32,0.032
222,0.032,1054.0,16.04,613.0,1.33,0.0,0.0,0.0,0.032
223,0.035,1052.0,20.25,617.0,1.05,0.0,704.0,0.22,0.035
224,0.03,1056.0,14.84,618.0,1.0,0.0,0.0,0.0,0.03
225,0.044,1047.0,25.44,618.0,1.33,0.0,0.0,0.0,0.044
226,0.031,1056.0,13.69,615.0,1.95,0.0,0.0,0.0,0.031
227,0.029,1046.0,15.11,613.0,1.19,0.0,0.0,0.0,0.029
228,0.034,1054.0,15.73,617.0,1.04,0.0,0.0,0.0,0.034
229,0.029,1047.0,17.62,611.0,0.73,0.0,0.0,0.0,0.029
230,0.051,1112.0,25.8,617.0,1.07,0.0,0.0,0.0,0.051
231,0.029,1054.0,16.55,612.0,0.89,0.0,0.0,0.0,0.029
232,0.029,1032.0,14.59,622.0,1.2,0.0,709.0,0.32,0.029
233,0.021,1046.0,8.98,610.0,1.16,0.0,705.0,0.22,0.021
234,0.033,1057.0,14.82,616.0,1.87,0.0,0.0,0.0,0.033
235,0.03,1046.0,12.4,613.0,1.49,0.0,0.0,0.0,0.03
236,0.029,1036.0,12.13,613.0,1.18,0.0,0.0,0.0,0.029
237,0.031,1055.0,14.57,618.0,1.0,0.0,0.0,0.0,0.031
238,0.03,1056.0,15.36,616.0,1.3,0.0,0.0,0.0,0.03
239,0.046,1053.0,34.43,612.0,1.55,0.0,0.0,0.0,0.046
240,0.031,1045.0,15.91,613.0,1.48,0.0,711.0,0.42,0.031
241,0.032,1058.0,14.81,615.0,2.02,0.0,0.0,0.0,0.032
242,0.109,1055.0,84.76,609.0,1.19,0.0,705.0,0.22,0.109
243,0.121,1050.0,97.26,610.0,1.37,0.0,0.0,0.0,0.121
244,0.123,1044.0,99.45,613.0,0.98,0.0,705.0,0.22,0.123
245,0.124,1057.0,99.69,617.0,1.22,0.0,0.0,0.0,0.124
246,0.12,1057.0,100.0,607.0,1.15,0.0,0.0,0.0,0.12
247,0.118,1053.0,99.01,608.0,1.33,0.0,705.0,0.22,0.118
248,0.121,1055.0,100.0,609.0,1.4,0.0,0.0,0.0,0.121
249,0.078,1040.0,67.49,608.0,0.99,0.0,704.0,0.22,0.078
250,0.082,1054.0,18.18,610.0,1.34,0.0,0.0,0.0,0.082
251,0.031,1055.0,14.85,616.0,1.85,0.0,0.0,0.0,0.031
252,0.029,1050.0,14.29,616.0,1.27,0.0,0.0,0.0,0.029
253,0.031,1051.0,13.77,620.0,1.77,0.0,0.0,0.0,0.031
