Time (s),CPU Power (W),E-Cluster HW active frequency MHz,E-Cluster HW active residency %,P-Cluster HW active frequency MHz,P-Cluster HW active residency %,GPU Power (W),GPU active frequency MHz,GPU active residency %,Power (W),App CPU ms/s,ComponentA CPU ms/s,ComponentB CPU ms/s,Adapted
102,4.901,1949.0,19.41,3055.0,100.0,0.0,0.0,0.0,4.901,190.15,1137.57,1146.84,false
103,4.909,1927.0,19.21,3055.0,100.0,0.0,0.0,0.0,4.909,188.42,1152.12,1140.44,false
104,4.985,1842.0,34.54,3060.0,100.0,0.0,0.0,0.0,4.985,194.78,1142.87,1147.46,false
105,4.902,1826.0,21.75,3063.0,100.0,0.0,0.0,0.0,4.902,183.65,1153.74,1147.4,false
106,4.943,1987.0,25.42,3055.0,100.0,0.0,0.0,0.0,4.943,190.86,1147.46,1139.22,false
107,4.87,1813.0,24.06,3064.0,100.0,0.0,0.0,0.0,4.87,194.57,1146.96,1137.76,false
108,4.919,1906.0,21.43,3057.0,100.0,0.0,0.0,0.0,4.919,193.9,1149.77,1140.31,false
109,4.925,1948.0,20.26,3055.0,100.0,0.0,0.0,0.0,4.925,190.61,1149.16,1143.2,false
110,4.918,1909.0,17.89,3055.0,100.0,0.0,0.0,0.0,4.918,186.92,1141.65,1143.64,false
111,4.901,1895.0,17.28,3055.0,100.0,0.0,0.0,0.0,4.901,187.63,1144.59,1144.86,false
112,4.859,1883.0,25.49,3062.0,100.0,0.001,709.0,0.22,4.86,187.91,1143.43,1133.93,false
113,4.891,1844.0,22.72,3061.0,100.0,0.0,0.0,0.0,4.891,193.21,1149.7,1152.6,false
114,4.904,1958.0,19.07,3055.0,100.0,0.0,0.0,0.0,4.904,188.78,1145.05,1141.64,false
115,4.888,1877.0,20.64,3058.0,100.0,0.0,0.0,0.0,4.888,191.43,1146.03,1141.12,false
116,4.921,1834.0,32.7,3063.0,100.0,0.0,0.0,0.0,4.921,194.22,1146.48,1143.81,false
117,5.154,1852.0,23.11,3058.0,100.0,0.0,0.0,0.0,5.154,195.4,1151.8,1146.09,false
118,4.894,1837.0,21.37,3058.0,100.0,0.0,0.0,0.0,4.894,187.1,1138.33,1140.72,false
119,4.925,1844.0,19.82,3055.0,100.0,0.0,0.0,0.0,4.925,190.92,1148.13,1132.37,false
120,4.871,1817.0,22.44,3064.0,100.0,0.0,0.0,0.0,4.871,186.37,1151.81,1155.18,false
121,4.913,1800.0,23.75,3062.0,100.0,0.0,0.0,0.0,4.913,194.52,1149.11,1144.35,false
122,4.89,1882.0,19.82,3055.0,100.0,0.001,715.0,0.51,4.891,176.85,1142.71,1133.28,false
123,4.866,1838.0,21.84,3062.0,100.0,0.0,0.0,0.0,4.866,167.11,1150.97,1151.75,false
124,4.854,1850.0,25.2,3064.0,100.0,0.0,0.0,0.0,4.854,191.32,1145.7,1142.18,false
125,4.942,1813.0,33.14,3062.0,100.0,0.0,715.0,0.41,4.942,197.33,1146.53,1152.04,false
126,4.932,1897.0,19.04,3055.0,100.0,0.0,0.0,0.0,4.932,190.22,1148.21,1140.89,false
127,4.887,1799.0,24.91,3063.0,100.0,0.001,709.0,0.22,4.888,196.0,1147.71,1138.76,false
128,4.9,1853.0,22.09,3060.0,100.0,0.0,0.0,0.0,4.9,191.71,1145.67,1142.36,false
129,4.931,1802.0,23.31,3062.0,100.0,0.0,0.0,0.0,4.931,195.68,1153.65,1151.23,false
130,4.927,1996.0,18.91,3055.0,100.0,0.0,0.0,0.0,4.927,190.85,1149.61,1141.73,false
131,4.924,1994.0,18.46,3055.0,100.0,0.0,0.0,0.0,4.924,188.73,1142.66,1137.75,false
132,4.892,1911.0,21.31,3058.0,100.0,0.0,0.0,0.0,4.892,193.62,1141.63,1144.56,false
133,4.872,1818.0,26.46,3064.0,100.0,0.0,0.0,0.0,4.872,194.92,1153.35,1146.06,false
134,4.927,1963.0,19.06,3055.0,100.0,0.0,0.0,0.0,4.927,188.38,1141.87,1135.87,false
135,4.893,1930.0,21.71,3058.0,100.0,0.0,0.0,0.0,4.893,191.85,1142.39,1138.55,false
136,4.927,1858.0,18.26,3056.0,100.0,0.0,0.0,0.0,4.927,191.9,1146.0,1143.73,false
137,4.914,1871.0,17.41,3057.0,100.0,0.0,0.0,0.0,4.914,189.9,1151.75,1147.26,false
138,4.837,1867.0,20.6,3063.0,100.0,0.0,0.0,0.0,4.837,185.21,1146.3,1140.87,false
139,4.931,1941.0,19.44,3055.0,100.0,0.0,0.0,0.0,4.931,190.85,1137.72,1144.9,false
140,4.933,1953.0,19.49,3055.0,100.0,0.0,0.0,0.0,4.933,191.61,1149.31,1141.09,false
141,4.923,1953.0,18.12,3055.0,100.0,0.0,0.0,0.0,4.923,187.51,1149.92,1133.88,false
142,4.933,1882.0,18.35,3055.0,100.0,0.0,0.0,0.0,4.933,190.39,1143.85,1141.65,false
143,4.891,1806.0,24.51,3063.0,100.0,0.0,0.0,0.0,4.891,194.89,1149.04,1152.08,false
144,4.928,1894.0,22.43,3058.0,100.0,0.0,0.0,0.0,4.928,192.24,1147.71,1140.84,false
145,4.953,1856.0,23.45,3057.0,100.0,0.0,0.0,0.0,4.953,194.63,1146.17,1145.14,false
146,4.904,1847.0,22.07,3060.0,100.0,0.0,0.0,0.0,4.904,187.16,1147.29,1146.43,false
147,4.882,1832.0,24.52,3062.0,100.0,0.0,0.0,0.0,4.882,194.91,1148.37,1143.71,false
148,4.923,1926.0,19.34,3055.0,100.0,0.0,0.0,0.0,4.923,191.59,1142.9,1138.76,false
149,4.942,1749.0,23.94,3062.0,100.0,0.0,0.0,0.0,4.942,198.09,1155.6,1136.26,false
150,4.932,1740.0,23.42,3062.0,100.0,0.0,0.0,0.0,4.932,201.37,1150.94,1144.24,false
151,4.906,1887.0,22.1,3060.0,100.0,0.0,0.0,0.0,4.906,191.4,1147.95,1148.99,false
152,4.919,1845.0,21.88,3059.0,100.0,0.0,0.0,0.0,4.919,193.91,1146.68,1143.72,false
153,5.001,1886.0,28.84,3054.0,100.0,0.0,0.0,0.0,5.001,172.46,1139.84,1140.09,false
154,4.975,1899.0,35.13,3057.0,100.0,0.0,714.0,0.41,4.975,181.23,1150.42,1134.27,false
155,4.956,1954.0,20.58,3055.0,100.0,0.002,708.0,0.22,4.958,190.96,1145.84,1143.73,false
156,4.906,1827.0,23.39,3060.0,100.0,0.001,713.0,0.63,4.907,194.54,1145.15,1142.67,false
157,4.919,1772.0,22.16,3062.0,100.0,0.0,0.0,0.0,4.919,192.69,1149.32,1155.98,false
158,4.921,1697.0,19.76,3063.0,100.0,0.003,711.0,0.53,4.924,199.81,1147.18,1139.57,false
159,4.887,1825.0,24.21,3062.0,100.0,0.0,0.0,0.0,4.887,190.7,1154.58,1144.3,false
160,4.913,1900.0,22.19,3057.0,100.0,0.0,0.0,0.0,4.913,194.64,1145.39,1138.57,false
161,4.932,1929.0,19.74,3055.0,100.0,0.0,708.0,0.22,4.932,189.94,1145.91,1148.87,false
162,4.915,1905.0,21.52,3056.0,100.0,0.0,709.0,0.22,4.915,192.32,1143.81,1143.46,false
163,4.892,1843.0,20.52,3059.0,100.0,0.0,0.0,0.0,4.892,191.04,1148.03,1143.25,false
164,4.913,1984.0,22.65,3058.0,100.0,0.0,709.0,0.22,4.913,190.06,1145.26,1139.99,false
165,4.942,1899.0,22.89,3057.0,100.0,0.0,0.0,0.0,4.942,195.19,1145.71,1142.08,false
166,4.945,1722.0,22.87,3063.0,100.0,0.0,0.0,0.0,4.945,201.19,1155.09,1144.07,false
167,4.936,1831.0,21.47,3058.0,100.0,0.001,713.0,0.31,4.937,194.8,1148.99,1147.11,false
168,4.892,1892.0,23.35,3063.0,100.0,0.0,0.0,0.0,4.892,188.64,1144.97,1133.22,false
169,4.941,1945.0,18.83,3055.0,100.0,0.0,0.0,0.0,4.941,191.48,1145.14,1144.54,false
170,4.936,1933.0,19.29,3055.0,100.0,0.001,709.0,0.22,4.937,191.83,1137.38,1145.51,false
171,4.935,1967.0,19.96,3055.0,100.0,0.0,0.0,0.0,4.935,192.83,1151.78,1138.24,false
172,4.893,1877.0,23.83,3059.0,100.0,0.0,0.0,0.0,4.893,190.45,1141.92,1136.37,false
173,4.927,1867.0,21.44,3057.0,100.0,0.0,0.0,0.0,4.927,193.15,1153.05,1146.06,false
174,4.945,1940.0,19.23,3055.0,100.0,0.0,0.0,0.0,4.945,192.92,1142.35,1142.78,false
175,4.932,1951.0,18.87,3055.0,100.0,0.0,0.0,0.0,4.932,190.56,1149.9,1132.45,false
176,4.893,1780.0,24.59,3064.0,100.0,0.0,0.0,0.0,4.893,191.91,1145.31,1146.09,false
177,4.911,1841.0,23.46,3059.0,100.0,0.0,0.0,0.0,4.911,195.74,1145.85,1143.33,false
178,4.89,1889.0,20.75,3060.0,100.0,0.0,0.0,0.0,4.89,188.35,1146.02,1140.41,false
179,4.913,1812.0,21.8,3059.0,100.0,0.0,0.0,0.0,4.913,199.78,1143.84,1146.98,false
180,4.932,1850.0,21.24,3057.0,100.0,0.0,0.0,0.0,4.932,195.03,1151.16,1151.0,false
181,4.925,1985.0,21.54,3056.0,100.0,0.002,714.0,0.41,4.927,191.15,1145.42,1134.12,false
182,4.913,1864.0,21.01,3058.0,100.0,0.0,0.0,0.0,4.913,195.6,1143.57,1147.2,false
183,4.942,1967.0,18.8,3055.0,100.0,0.0,0.0,0.0,4.942,190.9,1147.02,1136.71,false
184,4.937,1862.0,32.04,3060.0,100.0,0.0,0.0,0.0,4.937,160.28,1146.0,1148.26,false
185,4.913,1876.0,21.89,3057.0,100.0,0.0,0.0,0.0,4.913,192.2,1143.55,1136.52,false
186,4.929,1869.0,22.05,3057.0,100.0,0.0,0.0,0.0,4.929,196.28,1143.02,1148.14,false
187,4.929,1842.0,19.59,3057.0,100.0,0.0,0.0,0.0,4.929,194.04,1150.54,1137.06,false
188,4.954,1867.0,19.5,3055.0,100.0,0.0,713.0,0.31,4.954,194.33,1148.03,1143.07,false
189,4.94,1965.0,20.29,3056.0,100.0,0.0,708.0,0.22,4.94,191.15,1145.06,1144.11,false
190,4.893,1819.0,26.23,3062.0,100.0,0.0,0.0,0.0,4.893,196.84,1146.29,1143.31,false
191,4.897,1923.0,23.21,3059.0,100.0,0.0,0.0,0.0,4.897,192.16,1148.37,1141.47,false
192,4.924,1790.0,24.25,3061.0,100.0,0.0,0.0,0.0,4.924,195.41,1140.19,1154.12,false
193,4.915,1938.0,21.54,3057.0,100.0,0.0,0.0,0.0,4.915,190.22,1148.85,1141.24,false
194,4.941,1877.0,18.92,3055.0,100.0,0.0,0.0,0.0,4.941,192.29,1148.11,1139.03,false
195,4.93,1837.0,24.59,3058.0,100.0,0.0,710.0,0.22,4.93,196.53,1142.89,1144.96,false
196,4.947,1926.0,21.59,3058.0,100.0,0.0,0.0,0.0,4.947,197.49,1142.69,1136.41,false
197,4.953,1843.0,21.31,3058.0,100.0,0.0,0.0,0.0,4.953,193.88,1154.76,1150.79,false
198,4.929,1787.0,18.08,3059.0,100.0,0.0,0.0,0.0,4.929,195.91,1152.28,1145.2,false
199,4.93,1823.0,18.11,3058.0,100.0,0.0,0.0,0.0,4.93,194.2,1143.61,1142.52,false
200,4.875,1840.0,27.04,3062.0,100.0,0.0,0.0,0.0,4.875,196.02,1141.03,1141.05,false
201,4.938,1827.0,23.13,3060.0,100.0,0.0,709.0,0.22,4.938,197.39,1152.13,1146.19,false
202,4.934,1839.0,21.35,3058.0,100.0,0.0,0.0,0.0,4.934,196.68,1151.9,1140.54,false
203,4.932,1938.0,21.22,3055.0,100.0,0.0,709.0,0.22,4.932,191.97,1137.74,1142.8,false
204,4.922,1908.0,20.37,3057.0,100.0,0.0,0.0,0.0,4.922,190.72,1149.15,1142.32,false
205,4.929,1885.0,20.8,3060.0,100.0,0.0,0.0,0.0,4.929,189.98,1146.71,1143.44,false
206,4.899,1939.0,21.52,3058.0,100.0,0.0,0.0,0.0,4.899,189.36,1141.22,1141.84,false
207,4.93,1889.0,20.48,3055.0,100.0,0.0,709.0,0.22,4.93,191.82,1153.13,1132.17,false
208,4.952,1845.0,20.2,3056.0,100.0,0.0,0.0,0.0,4.952,195.76,1142.59,1144.28,false
209,4.943,1853.0,20.43,3057.0,100.0,0.0,0.0,0.0,4.943,196.17,1141.25,1139.84,false
210,4.932,1790.0,20.87,3061.0,100.0,0.0,0.0,0.0,4.932,190.95,1152.24,1154.42,false
211,4.921,1884.0,24.23,3059.0,100.0,0.0,0.0,0.0,4.921,198.0,1144.99,1139.53,false
212,4.952,1765.0,21.05,3060.0,100.0,0.0,0.0,0.0,4.952,196.64,1142.75,1143.0,false
213,4.929,1899.0,18.92,3058.0,100.0,0.0,0.0,0.0,4.929,189.87,1145.43,1148.66,false
214,4.997,1876.0,35.32,3057.0,100.0,0.0,0.0,0.0,4.997,196.15,1153.44,1138.98,false
215,4.916,1823.0,21.83,3057.0,100.0,0.0,0.0,0.0,4.916,158.68,1146.99,1142.76,false
216,4.931,1949.0,23.31,3057.0,100.0,0.0,0.0,0.0,4.931,194.35,1143.71,1147.66,false
217,4.943,1930.0,18.89,3055.0,100.0,0.0,0.0,0.0,4.943,191.26,1145.98,1140.27,false
218,4.945,1762.0,21.21,3061.0,100.0,0.0,0.0,0.0,4.945,201.43,1152.99,1144.79,false
219,4.91,1756.0,23.61,3062.0,100.0,0.0,713.0,0.31,4.91,202.48,1138.43,1144.25,false
220,4.956,1852.0,20.61,3057.0,100.0,0.0,0.0,0.0,4.956,196.5,1155.48,1143.03,false
221,4.932,1947.0,19.9,3056.0,100.0,0.0,0.0,0.0,4.932,193.37,1138.81,1142.21,false
222,4.94,1924.0,18.41,3055.0,100.0,0.0,0.0,0.0,4.94,189.38,1150.79,1131.44,false
223,4.948,1942.0,18.84,3055.0,100.0,0.0,0.0,0.0,4.948,193.46,1135.82,1148.24,false
224,4.999,1964.0,24.87,3055.0,100.0,0.0,0.0,0.0,4.999,195.11,1149.63,1140.87,false
225,4.954,1968.0,19.15,3055.0,100.0,0.0,709.0,0.22,4.954,192.28,1148.78,1134.64,false
226,4.949,1723.0,23.38,3063.0,100.0,0.0,0.0,0.0,4.949,202.93,1147.27,1146.81,false
227,4.93,1764.0,22.82,3066.0,100.0,0.0,711.0,0.53,4.93,185.4,1156.04,1150.64,false
228,4.924,1792.0,23.42,3061.0,100.0,0.0,0.0,0.0,4.924,197.86,1146.99,1140.81,false
229,4.92,1808.0,26.13,3063.0,100.0,0.002,712.0,0.32,4.921,200.74,1151.78,1147.51,false
230,4.964,1793.0,22.27,3059.0,100.0,0.0,0.0,0.0,4.964,197.15,1148.0,1141.05,false
231,4.921,1896.0,22.22,3058.0,100.0,0.0,0.0,0.0,4.921,192.98,1150.52,1144.51,false
232,4.971,1813.0,19.93,3056.0,100.0,0.0,0.0,0.0,4.971,195.48,1145.59,1142.4,false
233,4.95,1943.0,20.27,3056.0,100.0,0.0,0.0,0.0,4.95,195.54,1139.61,1140.9,false
234,4.957,1991.0,18.82,3055.0,100.0,0.0,0.0,0.0,4.957,195.82,1149.55,1130.78,false
235,4.935,1891.0,21.28,3058.0,100.0,0.0,0.0,0.0,4.935,194.68,1146.01,1150.81,false
236,5.251,1769.0,28.53,3057.0,100.0,0.0,0.0,0.0,5.251,208.69,1146.52,1141.77,false
237,4.905,1868.0,23.54,3060.0,100.0,0.0,0.0,0.0,4.905,190.48,1149.55,1145.4,false
238,4.93,1850.0,23.62,3059.0,100.0,0.0,0.0,0.0,4.93,198.54,1147.69,1143.36,false
239,4.888,1910.0,20.28,3059.0,100.0,0.0,0.0,0.0,4.888,191.36,1138.66,1143.44,false
240,4.921,1783.0,21.21,3061.0,100.0,0.001,714.0,0.41,4.922,197.62,1146.01,1138.29,false
241,4.928,1772.0,23.77,3062.0,100.0,0.0,0.0,0.0,4.928,197.33,1159.48,1144.6,false
